,Model,IFEval,Big_Bench_Hard,MuSR,Theta
0,flan-t5-base,18.91,11.34,3.22,-0.9788352847099304
1,flan-t5-small,15.24,6.36,10.37,-1.0018415451049805
2,gemma-1.1-2b-it,30.67,5.86,2.02,-0.5809590816497803
3,gemma-2-2b-it,56.68,17.98,7.08,-0.6356856226921082
4,llama-3-8b-it,74.08,28.24,1.6,0.41484445333480835
5,llama-3.2-1b-it,56.98,8.74,2.97,-1.1680351495742798
6,llama-3.2-3b-it,73.93,24.06,1.37,0.2710638642311096
7,mistral-7b-it-v0.1,44.87,7.65,6.13,-0.7401760220527649
8,mistral-7b-it-v0.3,54.65,25.57,4.3,0.001237567514181137
9,mistral-8b-it-2410,58.96,25.82,10.72,0.01180112175643444
10,olmo-7b-it,34.73,13.16,4.33,-0.8944092988967896
11,olmoe-1b-7b-0924-it,46.67,14.57,6.07,-1.099569320678711
12,olmo-2-0325-32b-it,72.44,16.33,4.69,0.6053919196128845
13,phi-3-medium-4k-it,64.23,49.38,13.05,0.677378237247467
14,phi-3.5-mini-it,57.75,36.75,10.1,0.4744070768356323
15,phi-4-mini-it,73.78,38.74,6.45,-0.4968252182006836
16,qwen-2.5-0.5b-it,30.71,8.43,0.94,-1.4099286794662476
17,qwen-2.5-1.5b-it,44.76,19.81,3.19,0.20759040117263794
18,qwen-2.5-3b-it,64.75,25.8,7.57,0.32089734077453613
19,qwen-2.5-7b-it,75.85,34.89,8.45,0.48504820466041565
20,qwen-2.5-7b-it-1m,74.48,35.03,9.52,0.7153990268707275
