id,pred
1,B
2,B
3,B
4,A
5,B
6,A
7,B
8,B
9,B
10,B
11,B
12,B
13,B
14,B
15,B
16,B
17,B
18,B
19,B
20,B
21,B
22,A
23,B
24,B
25,B
26,B
27,B
28,A
29,B
30,B
31,B
32,B
33,B
34,B
35,A
36,B
37,B
38,B
39,B
40,A
41,B
42,B
43,B
44,B
45,B
46,B
47,A
48,B
49,B
50,B
51,B
52,B
53,A
54,B
55,B
56,A
57,B
58,B
59,B
60,B
61,A
62,B
63,B
64,B
65,A
66,A
67,B
68,B
69,B
70,B
71,A
72,B
73,B
74,A
75,A
76,B
77,A
78,B
79,A
80,B
81,B
82,B
83,B
84,B
85,B
86,B
87,B
88,B
89,B
90,B
91,B
92,B
93,B
94,A
95,B
96,B
97,B
98,A
99,A
100,B
101,B
102,B
103,B
104,A
105,B
106,B
107,A
108,B
109,B
110,A
111,B
112,A
113,B
114,A
115,B
116,A
117,A
118,B
119,B
120,B
121,A
122,B
123,B
124,B
125,B
126,B
127,B
128,B
129,B
130,B
131,B
132,B
133,A
134,B
135,B
136,A
137,B
138,A
139,B
140,B
141,A
142,B
143,B
144,B
145,B
146,B
147,B
148,B
149,A
150,A
151,B
152,A
153,B
154,B
155,B
156,B
157,A
158,B
159,B
160,B
161,B
162,B
163,B
164,B
165,B
166,B
167,B
168,B
169,A
170,B
171,B
172,B
173,B
174,B
175,B
176,B
177,B
178,B
179,B
180,B
181,B
182,A
183,B
184,B
185,B
186,A
187,B
188,B
189,B
190,B
191,B
192,A
193,B
194,B
195,A
196,B
197,A
198,B
199,A
