essay_id,overall,grammar,cohesion,conventions,vocabulary,syntax,phraseology
9CDD8FC77D5A,2,4,3,3,3,4,3
C19EDCF7BDD6,5,2,4,5,5,4,4
99D067A7FA9C,4,3,4,4,2,4,5
8E40E03B113A,4,3,3,2,5,3,4
9A96A89DF959,5,2,3,3,4,5,4
C4472C6DFE66,3,5,5,3,4,5,5
4668B9F74078,3,3,3,4,5,3,4
8C44127FF83C,5,5,3,5,1,5,3
1FB9B9E08786,3,4,5,3,3,2,2
840357B74A16,5,4,2,4,5,3,4
4C6E08E611EA,3,3,5,5,4,5,4
471BD41D6BA9,4,3,3,5,4,3,5
48CD3C2E57E9,5,3,5,5,3,3,5
50611B996992,5,4,3,4,4,4,2
AD095F1ADE0A,4,1,5,5,4,2,4
55AEC9A9BB4C,3,5,5,3,2,3,3
77D8D85C6451,3,5,3,4,4,5,5
9523FBA791BE,1,4,4,1,3,3,4
D5AC4A35BAF8,5,2,4,3,2,4,4
FCE7BA86AFDF,4,5,4,3,4,5,4
662E92CD6A6E,3,5,4,5,3,3,2
B5FF33681C22,3,3,3,4,4,4,2
2F0BD3FAFB2E,4,5,2,3,4,5,5
D3F44CC7EC17,3,4,3,5,2,2,4
41EAC230D430,5,1,5,1,5,5,5
E0BFF1488787,2,5,1,4,2,3,2
4E81E4116D94,2,5,4,4,5,4,2
999F3229AC57,4,3,4,4,5,4,3
4A87CFC37238,5,5,4,4,4,4,5
62A6A91A2C46,3,3,5,5,4,3,3
48F7FCAD8B23,3,4,5,2,4,1,4
5A75500DC0E2,5,1,3,4,4,5,4
49619EA08A55,4,3,4,3,3,2,4
39E0A362CF29,2,5,4,5,5,3,5
480C577BC8C9,3,4,4,5,4,4,4
2B62F285FD21,3,1,5,3,4,5,3
947DF52352AB,3,5,3,1,3,4,3
8AB06719AED1,3,5,5,2,2,4,5
9054912D1EA7,4,3,4,2,3,3,2
209A6BC99DB9,4,2,5,4,2,5,3
3480D4CCF0B5,2,1,5,4,1,5,5
2BAFBD6D9755,4,4,5,2,3,3,3
C5813A0D6AF5,2,2,5,5,5,3,3
3821238FE334,2,5,4,3,4,5,3
E52BD4FC3FF0,4,5,5,2,1,2,5
E376D913FA25,3,5,5,1,4,1,4
41BB825BAEBB,3,5,3,2,3,4,4
01E7242A2AD7,2,5,5,5,4,4,3
3691B4714FD5,4,1,5,3,5,2,1
ED57CFEC1CF1,5,3,3,5,3,1,1
C868C220A380,3,2,4,3,4,4,5
9E4F43374DD5,4,4,4,5,3,5,2
AAF5D100E836,3,2,5,5,4,4,4
E0B86027C5C5,2,5,5,1,3,5,5
4CFAF19AF547,4,3,2,4,5,3,2
7DC02C918305,2,5,5,5,3,2,5
3EE4C10E9149,5,5,5,5,4,5,4
9B4C52064991,2,3,2,4,4,2,5
830CCF8E0B23,4,5,3,4,5,5,3
366725B151D7,5,5,4,3,3,5,4
6CB31DED1BF0,3,3,4,1,4,5,3
A3C8FABB8B29,3,5,5,3,2,2,4
20E194B18D0E,4,5,5,3,5,3,2
CB0BF6DDF9B7,2,2,2,5,3,3,5
29BB45AA907C,3,4,4,4,4,3,4
0757FE18DBAA,4,4,5,1,3,1,4
98D8FF9E3C56,4,5,5,5,4,3,4
314E6ED40C6A,2,4,4,4,3,5,4
B39F335086FB,3,4,5,4,4,3,5
DE54A8F9C29C,5,4,4,2,3,5,3
F7DC6C783239,5,4,4,1,4,5,2
744C96D9BE0B,2,1,3,3,5,3,3
6FBD476D8AC9,1,2,4,1,3,5,3
4A3A73608D0E,5,5,2,5,4,2,3
