pred,id
B,1
A,2
A,3
B,4
B,5
A,6
A,7
B,8
A,9
B,10
B,11
B,12
B,13
B,14
A,15
B,16
B,17
A,18
B,19
B,20
A,21
B,22
A,23
B,24
A,25
B,26
A,27
B,28
B,29
B,30
B,31
A,32
B,33
B,34
A,35
A,36
A,37
B,38
B,39
A,40
B,41
A,42
A,43
B,44
B,45
B,46
A,47
B,48
B,49
B,50
B,51
B,52
A,53
B,54
B,55
B,56
B,57
B,58
A,59
B,60
B,61
A,62
A,63
B,64
A,65
B,66
A,67
B,68
B,69
A,70
B,71
B,72
A,73
B,74
B,75
B,76
B,77
B,78
B,79
A,80
B,81
B,82
A,83
A,84
A,85
A,86
B,87
A,88
B,89
A,90
A,91
A,92
B,93
B,94
B,95
A,96
B,97
B,98
B,99
B,100
