Model,Accuracy
phi-3-medium-4k-instruct,79
gemma-2-2b-it,78
mistral-nemo-instruct-2407,77
mistral-8B-instruct-2410,76
phi-3-mini-4k-instruct,72
phi-3.5-mini-instruct,72
llama-3-8b-it,71
phi-4-mini-instruct,70
flan-t5-xl,70
gemma-1.1-2b-it,69
mistral-7B-instruct-v0.1,67
qwen-2.5-7b-it-1m,66
flan-t5-large,65
mistral-7B-instruct-v0.3,65
qwen-2.5-7b-it,65
gemma-2b,64
flan-t5-base,64
qwen-2.5-3b-it,63
qwen-2.5-1.5b-it,60
gemma-7b,58
llama-3.2-3b-it,54
qwen-2.5-0.5b-it,52
flan-t5,50
olmoe-1b-7b-0924-it,48
olmo-7b-it,48
gpt2-medium,47
llama-3.2-1b-it,45
gpt2-large,42
llama-3.2-3b,40
flan-t5-small,39
gpt2-xl,38
gpt2-small,37
gemma-2-2b_raw,36
