id,pred
1,B
2,B
3,B
4,A
5,B
6,B
7,B
8,B
9,A
10,B
11,A
12,B
13,B
14,A
15,A
16,B
17,A
18,A
19,B
20,B
21,B
22,B
23,B
24,B
25,B
26,A
27,B
28,A
29,B
30,A
31,B
32,B
33,B
34,B
35,A
36,B
37,B
38,B
39,A
40,A
41,A
42,A
43,B
44,B
45,A
46,A
47,B
48,B
49,B
50,B
51,B
52,B
53,A
54,B
55,A
56,A
57,B
58,B
59,A
60,A
61,B
62,A
63,B
64,A
65,B
66,B
67,A
68,A
69,B
70,B
71,A
72,A
73,B
74,A
75,B
76,B
78,B
79,A
80,B
81,A
82,A
83,B
84,B
85,B
86,B
87,A
88,B
89,B
90,A
91,B
92,A
93,B
94,B
95,A
96,B
97,A
98,B
99,A
100,A
101,A
102,A
103,A
104,B
105,A
106,A
107,B
108,A
109,B
110,B
111,B
112,A
113,B
114,B
115,A
116,A
117,A
118,B
119,B
120,B
121,B
122,B
123,B
124,B
125,B
126,B
127,A
128,B
129,B
130,B
131,B
132,B
133,B
134,B
135,A
136,B
137,B
138,A
139,B
140,A
141,B
142,B
143,B
144,A
145,B
146,B
147,B
148,B
149,B
150,B
151,A
152,A
153,B
154,A
155,A
156,A
157,A
158,B
159,B
160,A
161,B
162,B
163,B
164,A
165,B
166,B
167,B
168,A
169,B
170,A
171,B
172,B
173,A
174,A
175,B
176,B
177,A
178,B
179,A
180,B
181,B
182,B
183,A
184,B
185,A
186,A
187,A
188,A
189,A
190,B
191,A
192,B
193,B
194,B
195,A
196,B
197,B
198,A
199,B
