,Model,IFEval,Big_Bench_Hard,MuSR,Theta
0,gemma-1.1-2b-it,30.67,5.86,2.02,0.3831023871898651
1,gemma-2-2b-it,56.68,17.98,7.08,0.9392409920692444
2,gemma-2b,26.9,5.21,3.03,0.26801830530166626
3,gemma-7b,26.59,21.12,10.98,-0.21511048078536987
4,gpt2-large,20.48,3.25,5.66,-1.0743924379348755
5,gpt2-medium,5.9,22.08,2.72,-0.6094712018966675
6,gpt2-small,17.93,2.67,15.35,-1.3189449310302734
7,gpt2-xl,20.39,2.58,4.04,-1.1800462007522583
8,llama-3-8b-it,74.08,28.24,1.6,0.6163602471351624
9,llama-3.2-1b-it,56.98,8.74,2.97,-0.8229891061782837
10,llama-3.2-3b,13.37,14.23,3.81,-0.9115365743637085
11,llama-3.2-3b-it,73.93,24.06,1.37,-0.4020718038082123
12,olmo-7b-it,34.73,13.16,4.33,-0.6828287839889526
13,olmoe-1b-7b-0924-it,46.67,14.57,6.07,-0.5401744246482849
14,phi-3.5-mini-instruct,57.75,36.75,10.1,0.7164372801780701
15,qwen-2.5-0.5b-it,30.71,8.43,0.94,-0.44416001439094543
16,qwen-2.5-1.5b-it,44.76,19.81,3.19,-0.07506901770830154
17,qwen-2.5-3b-it,64.75,25.8,7.57,0.153020441532135
18,qwen-2.5-7b-it-1m,74.48,35.03,9.52,0.38559025526046753
