overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions,essay_id
3,3,3,3,3,3,3.0,9CDD8FC77D5A
2,2,2,2,2,2,2.0,C19EDCF7BDD6
3,3,3,3,3,3,3.0,99D067A7FA9C
3,3,3,3,3,2,2.0,8E40E03B113A
3,3,3,3,3,3,3.0,9A96A89DF959
2,2,2,2,2,2,2.0,C4472C6DFE66
3,3,3,3,3,3,3.0,4668B9F74078
2,2,2,2,2,2,2.0,8C44127FF83C
2,2,2,2,2,1,1.0,1FB9B9E08786
3,3,3,3,3,3,3.0,840357B74A16
3,3,3,3,2,2,2.0,4C6E08E611EA
2,2,2,3,2,2,2.0,471BD41D6BA9
3,3,3,3,3,3,3.0,48CD3C2E57E9
2,2,2,2,2,2,2.0,50611B996992
2,2,2,2,2,1,1.0,AD095F1ADE0A
2,2,2,2,2,2,2.0,55AEC9A9BB4C
3,3,3,3,3,3,3.0,77D8D85C6451
3,3,3,3,3,4,4.0,9523FBA791BE
2,2,2,2,2,2,2.0,D5AC4A35BAF8
2,2,2,2,2,2,2.0,FCE7BA86AFDF
3,3,3,3,3,4,4.0,662E92CD6A6E
3,3,3,3,3,3,3.0,B5FF33681C22
3,3,3,3,3,3,3.0,2F0BD3FAFB2E
3,3,2,3,2,2,2.0,D3F44CC7EC17
3,3,3,3,3,3,3.0,41EAC230D430
1,1,1,1,1,1,1.0,E0BFF1488787
2,2,2,2,2,2,2.0,4E81E4116D94
2,2,2,2,2,2,2.0,999F3229AC57
4,4,4,4,4,4,4.0,4A87CFC37238
2,2,2,2,2,1,1.0,62A6A91A2C46
2,2,2,2,2,2,2.0,48F7FCAD8B23
2,2,2,2,2,2,2.0,5A75500DC0E2
2,2,2,2,2,2,2.0,49619EA08A55
3,3,3,3,3,3,3.0,39E0A362CF29
2,2,2,2,2,2,2.0,480C577BC8C9
3,3,3,3,3,2,2.0,2B62F285FD21
2,2,2,2,2,2,2.0,947DF52352AB
2,2,2,2,2,2,2.0,8AB06719AED1
2,2,2,2,2,1,1.0,9054912D1EA7
4,4,4,4,4,4,4.0,209A6BC99DB9
3,3,3,3,3,3,3.0,3480D4CCF0B5
2,2,2,2,2,2,2.0,2BAFBD6D9755
1,1,1,1,1,1,1.0,C5813A0D6AF5
2,2,2,2,2,2,2.0,3821238FE334
2,2,2,2,2,1,1.0,E52BD4FC3FF0
2,2,2,2,2,1,1.0,E376D913FA25
3,3,3,3,3,2,2.0,41BB825BAEBB
3,3,3,3,3,3,3.0,01E7242A2AD7
2,2,2,2,2,1,1.0,3691B4714FD5
1,1,1,1,1,1,1.0,ED57CFEC1CF1
2,2,2,2,1,1,1.0,C868C220A380
2,2,2,2,2,1,1.0,9E4F43374DD5
2,2,2,2,1,1,1.0,AAF5D100E836
2,2,2,2,2,2,2.0,E0B86027C5C5
2,2,2,2,2,2,2.0,4CFAF19AF547
3,3,3,3,3,2,2.0,7DC02C918305
4,4,4,4,4,4,4.0,3EE4C10E9149
2,2,2,2,2,2,2.0,9B4C52064991
2,2,2,2,2,2,2.0,830CCF8E0B23
2,2,2,3,2,2,2.0,366725B151D7
2,2,2,2,2,2,2.0,6CB31DED1BF0
2,2,2,2,2,2,2.0,A3C8FABB8B29
2,2,2,2,2,2,2.0,20E194B18D0E
1,1,1,1,1,1,1.0,CB0BF6DDF9B7
3,3,3,3,3,3,3.0,29BB45AA907C
2,2,2,2,2,1,1.0,0757FE18DBAA
3,3,3,3,3,3,3.0,98D8FF9E3C56
2,2,2,3,2,2,2.0,314E6ED40C6A
3,3,3,3,3,2,2.0,B39F335086FB
4,4,4,4,4,4,4.0,DE54A8F9C29C
2,2,2,2,2,2,2.0,F7DC6C783239
4,4,4,4,4,4,4.0,744C96D9BE0B
2,2,2,2,1,1,1.0,6FBD476D8AC9
3,3,3,3,3,3,3.0,4A3A73608D0E
4,4,4,4,4,4,4.0,4994A639ED75
2,2,2,2,2,1,1.0,D185087926CD
3,3,2,3,2,2,2.0,6AA75E61D3C1
3,3,3,3,3,2,2.0,78303F7A5AB0
2,2,2,2,2,2,2.0,7F0B7DDE89B2
3,3,3,3,3,3,3.0,C7BD62EA392F
1,1,1,1,1,1,1.0,0A67029FA17C
4,3,3,3,3,3,3.0,38E03AE14C78
2,2,2,2,2,2,2.0,B558AFC603D4
3,3,3,3,3,3,3.0,918C1880FCD8
2,2,2,3,2,2,1.0,B6E9E12159E3
3,3,3,3,3,3,3.0,8B155840CA6D
2,2,2,2,2,2,2.0,BF267B42A2A4
3,2,2,3,2,2,2.0,56E188D44884
2,2,2,2,2,2,2.0,29595ADA257B
3,3,3,3,3,3,3.0,E4C49D70C330
2,2,2,2,1,1,1.0,3EEB66F3630C
3,3,3,3,3,2,2.0,C0BC39F655F9
2,2,2,2,2,2,2.0,253B2D521F14
2,2,2,2,2,2,2.0,A0C5D3BB735F
4,4,4,4,4,4,4.0,FBC269A9D3AE
2,2,2,2,2,2,2.0,41AEF2D0D03E
3,3,3,3,3,3,3.0,44C1594D0950
2,2,2,2,2,2,2.0,DE962FEDCD9E
2,2,2,2,2,1,1.0,40788D50B102
2,2,2,2,2,1,1.0,17C7C1CAF7E8
3,3,3,3,3,3,3.0,9E4E221D8419
3,3,3,3,3,3,3.0,506A69171959
3,3,3,3,3,3,3.0,4D35A86F4929
2,2,2,2,2,1,1.0,112B891A4F41
2,2,2,2,2,2,2.0,71A9098715EB
3,3,3,3,3,3,3.0,87E3F6FDAA68
2,2,2,2,2,2,2.0,ADFE2CDB6FF1
3,3,3,3,2,2,2.0,83FD2977A14D
2,2,2,2,2,2,2.0,8C5BF0347F87
1,1,1,1,1,1,1.0,0CFDDC1CF75A
2,2,2,2,2,2,2.0,3DB503D247B3
2,2,2,3,2,2,1.0,56AC4BE71C2F
3,3,3,3,3,3,3.0,85E3C840FCBF
3,3,3,3,3,2,2.0,1D9F4510A90B
4,4,4,4,4,4,4.0,74FF4379012C
3,3,3,3,3,2,2.0,D5202DF530D1
2,2,2,2,2,2,2.0,642E44E8DD25
3,3,3,3,3,3,3.0,5E32A7855A7F
2,2,2,2,2,2,2.0,4032ED0063E4
3,3,3,3,3,3,3.0,2C9EA803FF3A
2,2,2,3,2,2,2.0,10DA9316D02D
1,1,1,1,1,1,1.0,25130AAA9552
3,3,3,3,3,3,3.0,1151BAA93780
2,2,2,2,2,1,1.0,63146C2EA477
2,2,2,2,2,2,2.0,23F0ABEF8370
2,2,2,3,2,2,2.0,0F9DDF417CDA
1,1,1,1,1,1,1.0,871097AE113C
3,4,4,4,3,4,4.0,C27C72D6E208
2,2,2,2,2,2,2.0,90978A2F8599
3,3,3,3,3,3,3.0,83FEB27FD31E
2,2,2,2,2,2,2.0,8B1F8FCC9E56
2,2,2,2,2,2,2.0,A2BA5F95C077
2,2,2,2,2,2,,E8C554B25F19
3,3,3,3,3,3,3.0,9B5E142C63AC
1,1,1,1,1,1,1.0,8EE0540E163D
4,4,3,4,4,4,4.0,68C346DDE213
2,2,2,2,2,1,1.0,D99C71A15BA0
2,2,2,2,2,2,2.0,14B667544F4E
5,5,5,5,5,5,5.0,2DA1C5338C78
3,3,3,3,3,4,4.0,8B1883B7393C
2,2,2,2,2,2,2.0,5E830B6462DB
2,2,2,2,2,2,2.0,669A736CF0B4
3,4,3,4,3,3,3.0,24008FFDB479
3,3,3,3,3,3,3.0,60623DB5DE7A
3,3,3,3,3,2,2.0,BD9FE34E4670
2,2,2,2,2,2,2.0,8C8B11C308CF
2,2,2,3,2,2,2.0,5EE6F7530113
3,3,3,3,3,3,3.0,76C2E20AF20E
3,3,3,3,3,3,3.0,46977B27324C
2,2,2,2,2,2,2.0,AA03F87A4A75
2,1,2,2,1,2,2.0,02A7A3AFFBD5
1,1,1,1,1,1,1.0,907FC59841EC
2,2,2,2,2,1,1.0,E52BA6E4D7EE
2,2,2,2,2,2,2.0,E3DBC3B092A7
5,5,5,5,5,5,5.0,12E3D52345C6
2,2,2,2,1,1,1.0,51A7C4616A18
2,2,2,2,2,2,2.0,04FA62C5F269
2,2,2,2,2,1,1.0,C537E278BAE6
3,3,3,3,3,3,3.0,34E9C436DECE
2,2,2,2,2,2,2.0,52D244740799
4,4,4,4,4,4,4.0,916C937AF222
2,2,2,2,2,1,1.0,A9A0D8CE21B4
3,3,3,3,3,3,3.0,219E44AA7948
3,2,2,2,2,2,2.0,507FAD8DAFB0
3,3,3,3,3,3,3.0,F5EA98F42452
2,2,2,2,2,2,2.0,CD506B5747F7
2,2,2,2,2,2,2.0,7D1825E2F4AD
2,2,2,2,2,2,2.0,4F5775B0B88D
2,2,2,2,2,2,2.0,A85F9CF7691D
2,2,2,2,1,1,1.0,EFB208F9EF60
2,2,2,2,2,2,2.0,AE6AE119B52F
1,1,1,1,1,1,1.0,4E8ED336CF7E
3,3,3,3,3,3,3.0,111443A063CE
3,2,3,3,3,3,3.0,1B2274161889
2,2,2,3,2,2,2.0,5C9B1FB411EB
1,1,1,1,1,1,1.0,9213A16C1A0A
3,3,3,3,3,3,3.0,FC9DA73D1EA0
4,4,4,4,4,4,4.0,EBEFF43F46EE
2,2,2,2,2,1,1.0,E78C1D3328E3
2,2,2,2,2,2,2.0,3B81809AA132
3,3,2,3,2,2,2.0,14ED79D68BC4
4,4,4,4,4,4,4.0,2A426B89E8C5
2,2,2,2,2,2,2.0,67F6FEDD7677
2,2,2,2,2,1,1.0,C2DCF6EED519
2,2,2,2,2,1,1.0,16BE136AB3A7
3,3,3,3,3,3,3.0,C3D8BAA89C4F
2,2,2,2,2,2,2.0,4FD2B58768E2
3,3,2,3,2,2,2.0,6D9728CB8711
2,2,2,2,2,2,2.0,253108CDC69F
2,2,2,2,2,1,1.0,19692639977E
2,2,2,2,2,2,2.0,6ED616EC6B00
3,3,3,3,3,3,3.0,34D76C62269C
2,2,2,3,2,1,1.0,9FFDCC21CAA0
2,2,2,2,2,2,2.0,BC227A70B60E
2,2,2,2,2,2,2.0,6F63F3BCD18D
2,2,2,2,2,2,2.0,E2A60C034849
2,2,2,2,2,2,2.0,D5C7212A31FD
1,1,1,1,1,1,1.0,80172B0A969C
2,2,2,2,2,2,2.0,A0B58CDB939A
3,3,3,3,3,3,3.0,DDD24AF9146F
2,2,2,2,2,2,2.0,858DFA7A9980
4,4,4,4,4,4,4.0,109CBA5203BB
2,2,2,3,2,2,2.0,6AB122D640E1
3,3,3,3,3,3,3.0,9EBCC1131B13
3,3,3,3,3,3,3.0,9551DA943B01
3,3,3,3,3,3,3.0,9CB6D9467227
3,3,3,3,3,2,2.0,B37D0A9D7859
2,2,2,3,2,2,2.0,AF7DB5739529
2,2,2,3,2,2,2.0,07A4DAFDE5B7
3,3,3,3,3,3,3.0,AF6A4C253262
2,2,2,2,2,2,2.0,269101ABF266
3,3,3,3,3,3,3.0,CB13841D09DF
2,2,2,2,2,2,2.0,2E6495FC2C72
3,3,3,3,3,3,3.0,CB769FAD1A51
2,2,2,3,2,2,2.0,F48D7BBAF52D
1,1,1,1,1,1,1.0,593E2802E27C
2,2,2,3,2,2,2.0,F934542997DC
2,2,2,3,2,1,1.0,A6745A8EE7AF
2,2,2,2,2,2,2.0,1A69B2FC1200
2,2,2,2,2,2,2.0,8311ABD30CC1
2,2,2,2,2,2,2.0,591B7E3E2B40
5,5,5,5,5,5,5.0,1D327ADD95AA
2,2,2,2,2,2,2.0,7B557B2F27CE
1,1,1,1,1,1,1.0,5086E20438E9
1,1,1,1,1,1,1.0,D25868F1C5C3
2,2,2,2,2,2,2.0,F1BB39C5E549
2,2,2,3,2,2,2.0,471C6119911D
3,4,4,4,3,4,4.0,10490469631A
2,2,2,2,2,1,1.0,EC719533AB43
2,2,2,2,2,1,1.0,4B0F6070B45A
2,2,2,3,2,1,1.0,A1A83A14B53F
2,2,2,3,2,3,3.0,BE4764F7BFF1
2,2,2,2,2,2,2.0,76BC1CB29C1E
2,2,2,3,2,2,2.0,CA6EBB87D7FF
2,2,2,2,2,1,1.0,4BE3F5DCD6C9
3,3,3,3,3,3,3.0,87692B9A8184
3,3,3,3,3,3,3.0,AA7B4CC7EE1B
3,3,3,3,3,2,2.0,B46E31AA2653
2,2,2,2,2,2,2.0,60EAF2CDEB66
1,1,1,1,1,1,1.0,3F4A9ACFEDFB
2,2,2,2,2,2,2.0,AA9429AD1038
1,1,1,1,1,1,1.0,759E0659FF69
2,2,2,2,2,1,1.0,681B9CD21B07
2,2,2,2,2,2,2.0,ABB6A19842F1
3,3,3,3,3,3,3.0,6B20E9C115AF
3,3,3,3,3,4,4.0,ED9C6EDC5601
2,2,2,2,2,2,2.0,C1D243FAE6FF
2,2,2,2,2,2,2.0,36311D8E825C
2,2,2,2,2,2,2.0,0ACB3F8B9DF8
2,2,2,2,2,2,2.0,F12FEB0FE5B6
2,2,2,2,2,2,2.0,CEACA9EC34F8
2,2,2,2,2,2,2.0,1B981E7E59C5
4,4,4,4,4,4,4.0,73268F15F18B
2,2,2,3,2,2,2.0,38CADC812CBA
2,2,2,2,2,2,2.0,9D3EE733AE65
1,1,1,1,1,1,1.0,9F979C691167
2,2,2,2,2,2,2.0,26650408983
3,3,3,3,3,3,3.0,D8284C3B2D2C
2,2,2,2,2,1,1.0,857574FE9711
2,2,2,2,2,2,2.0,24DAF94F0A18
3,3,3,3,3,3,3.0,4C3AFB55C4F7
2,2,2,2,2,2,2.0,C5784E7398EC
3,3,3,3,3,3,3.0,1703E46B4DC9
2,2,2,2,2,1,1.0,AFBC394080FC
2,2,2,2,1,1,1.0,7A2F7AAFA6C8
2,2,2,3,2,2,2.0,8BF621177FB3
1,1,1,1,1,1,1.0,8399BA1DF44B
2,2,2,2,2,2,2.0,13AB4CC7F80F
2,2,2,3,2,2,2.0,A055576C0F9E
1,1,1,1,1,1,1.0,AC7AB280A93C
2,2,2,2,2,2,2.0,702A25E4B218
3,3,3,3,3,2,2.0,211699D25472
3,3,3,3,3,3,3.0,CFBD5DD8ECFD
3,3,3,3,3,2,2.0,134937CE445C
3,3,3,3,3,3,3.0,17FC8F322225
3,3,3,3,3,3,3.0,5E3EA4C47C9A
4,4,4,4,4,4,4.0,22F571F54234
2,2,2,2,2,2,2.0,BC4A0CFD6CAF
3,3,3,3,3,2,2.0,CD586C88F4F3
2,2,2,2,2,2,1.0,3F12BC08B53F
2,2,2,2,2,2,2.0,DC1271D1294D
2,2,2,2,2,2,2.0,663149D85F9C
2,2,2,3,2,2,2.0,4E3FEE69D23E
2,2,2,2,2,2,2.0,D579D6F26A91
3,3,3,3,3,3,3.0,B1C43F31DAA7
2,2,2,2,2,2,2.0,B385E5EE33B9
3,3,3,3,3,3,3.0,65975436BE5C
2,2,2,2,2,2,2.0,27DBD975EC8E
3,3,3,3,3,3,3.0,B0AA5045D915
3,3,3,3,3,3,3.0,2B63A9B12B5B
3,3,3,3,3,3,3.0,03FDC60BE33B
2,1,1,2,1,1,1.0,E22F1FD54169
3,3,3,3,3,3,3.0,08D8232F2D78
3,3,3,3,3,3,3.0,0C1EDBE2EEC3
2,2,2,2,2,2,2.0,0F706EB152E7
2,2,2,2,2,2,2.0,1F8441914809
3,3,3,3,3,3,3.0,8650DDFD974B
2,2,2,2,2,2,2.0,991748F8ED61
3,3,3,3,3,3,3.0,01D8970208A9
2,2,2,2,2,1,1.0,F6C88F801A8A
