pred,id
A,1
A,2
A,3
A,4
B,5
A,6
A,7
B,8
A,9
B,10
A,11
B,12
A,13
B,14
B,15
B,16
B,17
A,18
B,19
A,20
A,21
B,22
A,23
B,24
A,25
A,26
A,27
B,28
B,29
B,30
B,31
A,32
A,33
A,34
A,35
A,36
A,37
A,38
B,39
A,40
A,41
B,42
A,43
A,44
B,45
A,46
A,47
A,48
A,49
B,50
B,51
B,52
A,53
A,54
B,55
B,56
B,57
B,58
B,59
B,60
B,61
A,62
B,63
B,64
B,65
B,66
A,67
A,68
A,69
B,70
A,71
A,72
A,73
A,74
A,75
B,76
B,77
A,78
B,79
B,80
A,81
B,82
A,83
A,84
B,85
B,86
A,87
A,88
B,89
A,90
A,91
B,92
A,93
B,94
A,95
A,96
B,97
A,98
B,99
A,100
