essay_id,overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions
9CDD8FC77D5A,2,3,2,3,2,3,2
C19EDCF7BDD6,2,3,2,2,1,3,2
99D067A7FA9C,3,3,2,3,2,3,2
8E40E03B113A,3,3,2,2,2,3,2
9A96A89DF959,2,3,2,2,2,3,2
C4472C6DFE66,2,2,2,2,1,3,2
4668B9F74078,1,1,1,2,1,1,1
8C44127FF83C,2,2,3,2,1,2,2
1FB9B9E08786,2,3,2,3,2,3,2
840357B74A16,2,2,3,2,1,2,2
4C6E08E611EA,2,2,3,3,2,2,2
471BD41D6BA9,3,3,2,3,2,2,2
48CD3C2E57E9,2,3,2,2,2,3,2
50611B996992,2,2,2,2,1,3,2
AD095F1ADE0A,2,3,2,2,2,3,2
55AEC9A9BB4C,2,3,2,2,2,3,2
77D8D85C6451,3,3,2,3,2,3,2
9523FBA791BE,2,2,3,2,1,2,1
D5AC4A35BAF8,2,2,3,2,1,2,2
FCE7BA86AFDF,2,3,2,3,2,3,2
662E92CD6A6E,3,3,2,2,2,3,2
B5FF33681C22,2,3,2,2,1,3,2
2F0BD3FAFB2E,2,2,3,2,1,3,2
D3F44CC7EC17,2,3,2,3,2,3,2
41EAC230D430,1,1,1,2,1,2,1
E0BFF1488787,2,3,2,2,1,2,2
4E81E4116D94,2,2,3,2,1,3,2
999F3229AC57,3,3,2,3,2,3,2
4A87CFC37238,2,2,2,2,1,2,2
62A6A91A2C46,2,2,3,2,2,3,2
48F7FCAD8B23,3,3,2,3,2,3,2
5A75500DC0E2,2,2,3,2,1,2,2
49619EA08A55,3,3,2,3,2,3,2
39E0A362CF29,2,2,3,2,2,3,2
480C577BC8C9,2,3,2,2,1,3,2
2B62F285FD21,2,2,3,2,1,2,2
947DF52352AB,2,3,2,3,2,3,2
8AB06719AED1,2,2,3,2,1,2,2
9054912D1EA7,3,3,2,2,2,3,2
209A6BC99DB9,2,3,2,2,2,3,2
3480D4CCF0B5,2,2,1,2,1,2,1
2BAFBD6D9755,1,1,1,2,1,1,1
C5813A0D6AF5,2,3,2,3,2,3,2
3821238FE334,2,2,3,2,1,2,2
E52BD4FC3FF0,2,2,3,3,2,2,2
E376D913FA25,3,3,2,3,2,2,3
41BB825BAEBB,2,3,2,2,1,3,2
01E7242A2AD7,2,3,2,2,1,3,2
3691B4714FD5,2,2,2,2,1,2,1
ED57CFEC1CF1,2,2,1,2,1,2,1
C868C220A380,2,2,3,2,2,3,2
9E4F43374DD5,2,3,2,2,2,3,2
AAF5D100E836,2,2,3,2,1,2,1
E0B86027C5C5,3,2,2,2,1,3,2
4CFAF19AF547,2,3,2,3,2,2,3
7DC02C918305,3,3,2,3,2,3,2
3EE4C10E9149,2,2,3,2,1,2,1
9B4C52064991,3,3,2,2,2,3,2
830CCF8E0B23,3,3,2,2,2,3,2
