essay_id,pred
9CDD8FC77D5A,"Here are the scores:

{""overall"": 2, ""cohesion"": 3, ""syntax"": 2, ""vocabulary"": 2, ""phraseology"": 2, ""grammar"": 2, ""conventions"": 3}"
C19EDCF7BDD6,"{ ""overall"": 2, ""cohesion"": 2, ""syntax"": 2, ""vocabulary"": 2, ""phraseology"": 1, ""grammar"": 1, ""conventions"": 2 }"
99D067A7FA9C,"{
""overall"": 2,
""cohesion"": 2,
""syntax"": 1,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 2
}"
8E40E03B113A,"Here are the scores:

{
""overall"": 3,
""cohesion"": 3,
""syntax"": 3,
""vocabulary"": 3,
""phraseology"": 2,
""grammar"": 3,
""conventions"": 4
}"
9A96A89DF959,"{ ""overall"": 2, ""cohesion"": 3, ""syntax"": 2, ""vocabulary"": 2, ""phraseology"": 2, ""grammar"": 2, ""conventions"": 3 }"
C4472C6DFE66,"{
""overall"": 2,
""cohesion"": 2,
""syntax"": 2,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 2,
""conventions"": 2
}"
4668B9F74078,"{
""overall"": 2,
""cohesion"": 2,
""syntax"": 1,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 2"
8C44127FF83C,"Here are the scores:

{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 2
}"
1FB9B9E08786,"{
""overall"": 2,
""cohesion"": 2,
""syntax"": 2,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 2,
""conventions"": 2"
840357B74A16,"{
""overall"": 2,
""cohesion"": 2,
""syntax"": 1,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 2
}"
4C6E08E611EA,"{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1
}"
471BD41D6BA9,"{
""overall"": 2,
""cohesion"": 2,
""syntax"": 2,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 2
}"
48CD3C2E57E9,"{ ""overall"": 3, ""cohesion"": 4, ""syntax"": 3, ""vocabulary"": 3, ""phraseology"": 2, ""grammar"": 3, ""conventions"": 4 }"
50611B996992,"Here are the scores:

{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1
}"
AD095F1ADE0A,"Here are the scores:

{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1
}"
55AEC9A9BB4C,"Here are the scores:

{
""overall"": 2,
""cohesion"": 2,
""syntax"": 1,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 2
}"
77D8D85C6451,"{
""overall"": 2,
""cohesion"": 2,
""syntax"": 1,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 2
}"
9523FBA791BE,"{
""overall"": 2,
""cohesion"": 3,
""syntax"": 2,
""vocabulary"": 2,
""phraseology"": 2,
""grammar"": 2,
""conventions"": 3
}"
D5AC4A35BAF8,"{
""overall"": 2,
""cohesion"": 2,
""syntax"": 1,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 2"
FCE7BA86AFDF,"Here are the scores:

{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1
}"
662E92CD6A6E,"{ ""overall"": 2, ""cohesion"": 3, ""syntax"": 2, ""vocabulary"": 2, ""phraseology"": 2, ""grammar"": 2, ""conventions"": 3 }"
B5FF33681C22,"{ ""overall"": 2, ""cohesion"": 2, ""syntax"": 2, ""vocabulary"": 2, ""phraseology"": 1, ""grammar"": 2, ""conventions"": 2 }"
2F0BD3FAFB2E,"{ ""overall"": 2, ""cohesion"": 2, ""syntax"": 1, ""vocabulary"": 2, ""phraseology"": 1, ""grammar"": 1, ""conventions"": 2 }"
D3F44CC7EC17,"Here are the scores:

{
""overall"": 2,
""cohesion"": 2,
""syntax"": 2,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 2
}"
41EAC230D430,"Here are the scores:

{
""overall"": 2,
""cohesion"": 2,
""syntax"": 2,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 2,
""conventions"": 2
}"
E0BFF1488787,"{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1"
4E81E4116D94,"{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1
}"
999F3229AC57,"{ ""overall"": 2, ""cohesion"": 2, ""syntax"": 2, ""vocabulary"": 2, ""phraseology"": 1, ""grammar"": 1, ""conventions"": 1 }"
4A87CFC37238,"{
""overall"": 2,
""cohesion"": 3,
""syntax"": 2,
""vocabulary"": 2,
""phraseology"": 2,
""grammar"": 1,
""conventions"": 2
}"
62A6A91A2C46,"{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1"
48F7FCAD8B23,"{
""overall"": 2,
""cohesion"": 2,
""syntax"": 1,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 2
}"
5A75500DC0E2,"{
""overall"": 2,
""cohesion"": 2,
""syntax"": 2,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1
}"
49619EA08A55,"{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1"
39E0A362CF29,"Here are the scores:

{
""overall"": 2,
""cohesion"": 2,
""syntax"": 2,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1
}"
480C577BC8C9,"{
""overall"": 1,
""cohesion"": 2,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1
}"
2B62F285FD21,"{ 'overall': 2, 'cohesion': 2,'syntax': 1, 'vocabulary': 1, 'phraseology': 1, 'grammar': 1, 'conventions': 2 }"
947DF52352AB,"{
""overall"": 2,
""cohesion"": 2,
""syntax"": 2,
""vocabulary"": 2,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1
}"
8AB06719AED1,"{ ""overall"": 2, ""cohesion"": 2, ""syntax"": 1, ""vocabulary"": 1, ""phraseology"": 1, ""grammar"": 1, ""conventions"": 2 }"
9054912D1EA7,"Here are the scores:

{ ""overall"": 1, ""cohesion"": 1, ""syntax"": 1, ""vocabulary"": 1, ""phraseology"": 1, ""grammar"": 1, ""conventions"": 1 }"
209A6BC99DB9,"{
""overall"": 3,
""cohesion"": 3,
""syntax"": 3,
""vocabulary"": 3,
""phraseology"": 2,
""grammar"": 3,
""conventions"": 4
}"
3480D4CCF0B5,"{ ""overall"": 2, ""cohesion"": 3, ""syntax"": 2, ""vocabulary"": 2, ""phraseology"": 2, ""grammar"": 2, ""conventions"": 3 }"
2BAFBD6D9755,"Here are the scores:

{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1
}"
C5813A0D6AF5,"{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1"
3821238FE334,"{ ""overall"": 2, ""cohesion"": 2, ""syntax"": 2, ""vocabulary"": 1, ""phraseology"": 1, ""grammar"": 1, ""conventions"": 1 }"
E52BD4FC3FF0,"Here are the scores:

{
""overall"": 1,
""cohesion"": 1,
""syntax"": 1,
""vocabulary"": 1,
""phraseology"": 1,
""grammar"": 1,
""conventions"": 1
}"
