id,pred
1,B
2,A
3,B
4,A
5,B
6,A
7,A
8,B
9,A
10,B
11,A
12,B
13,B
14,B
15,A
16,B
17,A
18,A
19,B
20,B
21,B
22,B
23,B
24,B
25,A
26,B
27,B
28,B
29,B
30,B
31,B
32,B
33,B
34,B
35,A
36,A
37,A
38,B
39,A
40,A
41,A
43,A
44,B
45,B
46,B
47,B
48,A
49,A
50,B
51,B
52,B
53,B
54,B
55,B
56,B
57,B
58,B
59,A
60,B
61,B
62,B
63,B
64,B
65,A
66,B
67,A
68,A
69,A
70,B
71,B
73,A
74,B
75,B
76,B
77,B
78,B
79,A
80,B
81,A
82,A
83,A
84,A
85,A
86,B
87,B
88,A
89,B
90,B
91,B
92,A
94,B
95,A
96,A
97,A
98,A
99,A
100,B
