id,pred
1,B
2,B
3,A
4,B
5,B
6,A
7,B
8,B
9,B
10,B
11,B
12,A
13,B
14,B
15,B
16,B
17,A
18,B
19,B
20,B
21,A
22,B
23,B
24,B
25,B
26,B
27,B
28,B
29,B
30,B
31,A
32,B
33,A
34,A
35,A
36,B
37,B
38,B
39,B
40,A
41,A
42,B
43,B
44,B
45,B
46,B
47,B
48,B
49,B
50,B
51,B
52,B
53,A
54,B
55,B
56,B
57,B
58,B
59,B
60,B
61,B
62,B
63,A
64,A
65,A
66,B
67,B
68,B
69,B
70,B
71,A
72,A
73,B
74,A
75,B
76,B
77,B
78,B
79,B
80,B
81,B
82,A
83,B
84,A
85,B
86,A
87,B
88,B
89,B
90,B
91,B
92,B
93,B
94,A
95,B
96,A
97,B
98,B
99,A
100,B
101,B
102,B
103,A
104,B
105,B
106,B
107,B
108,B
109,B
110,A
111,B
112,B
113,B
114,B
115,B
116,A
117,B
118,A
119,B
120,B
121,A
122,B
123,B
124,B
125,A
126,B
127,B
128,B
129,B
130,B
131,B
132,A
133,B
134,A
135,B
136,B
138,A
139,B
140,B
141,B
142,A
143,B
144,B
145,A
146,B
147,B
148,B
149,B
150,A
151,A
152,B
153,B
154,A
155,B
156,B
157,B
158,A
159,B
160,A
161,B
162,B
163,A
164,A
165,B
166,B
167,B
168,B
169,B
170,B
171,B
172,B
174,B
175,B
176,A
177,B
178,A
179,B
180,A
181,B
182,A
184,B
185,B
186,A
187,A
188,B
189,A
190,B
191,B
192,B
193,A
194,B
195,B
196,B
197,A
198,B
199,A
