id,pred
2,A
3,A
5,B
7,B
8,A
9,A
10,B
11,A
12,A
14,A
15,B
16,A
17,A
18,A
19,A
20,A
21,B
22,A
23,B
24,A
25,A
26,A
27,A
28,A
29,A
30,B
31,A
33,B
34,B
35,A
36,A
37,A
38,A
41,A
42,A
43,B
45,A
46,A
47,A
48,B
50,B
51,A
52,B
53,A
54,B
55,B
56,A
57,A
58,A
59,A
60,B
61,B
62,A
63,A
64,A
65,B
67,A
68,A
69,B
70,A
71,A
72,B
73,B
74,A
75,A
76,A
77,A
78,A
80,A
81,A
82,A
83,A
84,A
85,B
86,B
87,B
88,A
89,B
91,B
92,A
93,A
94,B
95,A
96,B
97,A
98,B
99,A
100,A
101,A
102,A
103,A
104,B
105,A
106,A
107,A
109,A
110,B
111,B
112,A
113,A
114,B
115,A
116,A
117,A
118,B
119,A
121,A
122,A
123,A
124,A
125,B
126,B
127,A
128,B
129,B
130,A
131,A
132,A
133,A
134,A
136,B
137,B
138,A
139,A
140,A
141,B
142,A
143,A
144,A
145,B
146,A
147,A
148,B
149,A
151,A
152,A
153,A
154,A
156,B
157,A
158,A
159,A
160,A
161,A
162,B
163,A
165,A
166,B
167,A
168,A
169,A
170,A
171,A
172,B
173,A
174,A
175,B
178,B
179,A
180,B
181,B
182,B
183,B
184,B
186,A
187,A
188,A
189,A
190,A
191,A
194,A
195,A
196,A
197,B
198,B
199,A
