essay_id,overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions
9CDD8FC77D5A,2,3,2,2,2,2,3
C19EDCF7BDD6,2,2,2,2,1,1,2
99D067A7FA9C,2,2,1,2,1,1,2
8E40E03B113A,3,3,3,3,2,3,4
9A96A89DF959,2,3,2,2,2,2,3
C4472C6DFE66,2,2,2,2,1,2,2
4668B9F74078,2,2,1,2,1,1,2
8C44127FF83C,1,1,1,1,1,1,2
1FB9B9E08786,2,2,2,2,1,2,2
840357B74A16,2,2,1,2,1,1,2
4C6E08E611EA,1,1,1,1,1,1,1
471BD41D6BA9,2,2,2,1,1,1,2
48CD3C2E57E9,3,4,3,3,2,3,4
50611B996992,1,1,1,1,1,1,1
AD095F1ADE0A,1,1,1,1,1,1,1
55AEC9A9BB4C,2,2,1,2,1,1,2
77D8D85C6451,2,2,1,2,1,1,2
9523FBA791BE,2,3,2,2,2,2,3
D5AC4A35BAF8,2,2,1,2,1,1,2
FCE7BA86AFDF,1,1,1,1,1,1,1
662E92CD6A6E,2,3,2,2,2,2,3
B5FF33681C22,2,2,2,2,1,2,2
2F0BD3FAFB2E,2,2,1,2,1,1,2
D3F44CC7EC17,2,2,2,2,1,1,2
41EAC230D430,2,2,2,2,1,2,2
E0BFF1488787,1,1,1,1,1,1,1
4E81E4116D94,1,1,1,1,1,1,1
999F3229AC57,2,2,2,2,1,1,1
4A87CFC37238,2,3,2,2,2,1,2
62A6A91A2C46,1,1,1,1,1,1,1
48F7FCAD8B23,2,2,1,2,1,1,2
5A75500DC0E2,2,2,2,2,1,1,1
49619EA08A55,1,1,1,1,1,1,1
39E0A362CF29,2,2,2,2,1,1,1
480C577BC8C9,1,2,1,1,1,1,1
2B62F285FD21,2,2,1,1,1,1,2
947DF52352AB,2,2,2,2,1,1,1
8AB06719AED1,2,2,1,1,1,1,2
9054912D1EA7,1,1,1,1,1,1,1
209A6BC99DB9,3,3,3,3,2,3,4
3480D4CCF0B5,2,3,2,2,2,2,3
2BAFBD6D9755,1,1,1,1,1,1,1
C5813A0D6AF5,1,1,1,1,1,1,1
3821238FE334,2,2,2,1,1,1,1
E52BD4FC3FF0,1,1,1,1,1,1,1
E376D913FA25,1,1,1,1,1,1,1
41BB825BAEBB,2,2,1,2,1,1,2
01E7242A2AD7,1,2,1,1,1,1,1
3691B4714FD5,2,2,1,2,1,1,2
ED57CFEC1CF1,1,1,1,1,1,1,1
C868C220A380,1,1,1,1,1,1,1
9E4F43374DD5,2,2,1,2,1,1,1
AAF5D100E836,1,1,1,1,1,1,1
E0B86027C5C5,2,2,1,2,1,1,2
4CFAF19AF547,2,2,2,2,1,1,1
7DC02C918305,2,2,2,2,1,2,2
3EE4C10E9149,3,3,3,3,2,4,4
9B4C52064991,1,1,1,1,1,1,1
830CCF8E0B23,2,2,2,2,1,2,2
366725B151D7,2,2,1,2,1,1,2
6CB31DED1BF0,2,2,2,2,1,1,1
A3C8FABB8B29,1,1,1,1,1,1,1
20E194B18D0E,2,2,2,2,1,1,2
CB0BF6DDF9B7,1,1,1,1,1,1,1
29BB45AA907C,3,3,2,2,1,2,2
0757FE18DBAA,1,1,1,1,1,1,1
98D8FF9E3C56,2,3,2,2,2,2,3
314E6ED40C6A,1,1,1,1,1,1,1
B39F335086FB,2,2,1,1,1,1,1
DE54A8F9C29C,2,3,2,2,2,2,3
F7DC6C783239,2,2,1,2,1,1,2
744C96D9BE0B,3,4,3,3,2,3,4
6FBD476D8AC9,1,1,1,1,1,1,1
4A3A73608D0E,2,2,2,2,1,2,2
4994A639ED75,3,3,3,3,2,4,4
D185087926CD,1,1,1,1,1,1,1
6AA75E61D3C1,1,1,1,1,1,1,1
78303F7A5AB0,2,2,1,1,1,1,1
7F0B7DDE89B2,1,1,1,1,1,1,1
C7BD62EA392F,2,2,2,2,2,1,2
0A67029FA17C,1,1,1,1,1,1,1
38E03AE14C78,2,3,2,2,1,2,2
B558AFC603D4,2,2,1,1,1,1,2
918C1880FCD8,2,3,2,2,2,2,3
B6E9E12159E3,2,2,1,1,1,1,2
8B155840CA6D,2,2,2,2,1,1,2
BF267B42A2A4,2,2,1,2,1,1,2
56E188D44884,1,1,1,1,1,1,1
29595ADA257B,1,2,1,1,1,1,1
E4C49D70C330,2,2,2,2,1,2,2
3EEB66F3630C,1,1,1,1,1,1,1
C0BC39F655F9,2,2,2,2,2,1,2
253B2D521F14,2,2,1,1,1,1,1
A0C5D3BB735F,1,1,1,1,1,1,1
FBC269A9D3AE,2,2,2,2,1,2,2
41AEF2D0D03E,1,1,1,1,1,1,1
44C1594D0950,2,2,2,2,1,1,2
DE962FEDCD9E,2,2,1,2,1,1,2
40788D50B102,1,1,1,1,1,1,1
17C7C1CAF7E8,1,1,1,1,1,1,1
9E4E221D8419,2,2,2,2,1,1,2
506A69171959,2,2,2,2,2,1,2
4D35A86F4929,2,2,1,2,1,1,1
112B891A4F41,1,1,1,1,1,1,1
71A9098715EB,2,2,1,2,1,1,1
87E3F6FDAA68,2,2,1,2,1,1,2
ADFE2CDB6FF1,2,2,2,2,1,1,2
83FD2977A14D,2,2,2,2,1,2,2
8C5BF0347F87,2,2,2,2,2,1,2
0CFDDC1CF75A,1,1,1,1,1,1,1
3DB503D247B3,2,2,2,1,1,1,1
56AC4BE71C2F,1,1,1,1,1,1,1
85E3C840FCBF,2,2,2,2,2,1,2
1D9F4510A90B,2,2,2,2,1,1,1
74FF4379012C,3,3,3,3,2,4,4
D5202DF530D1,2,2,2,2,2,1,2
642E44E8DD25,1,1,1,1,1,1,1
5E32A7855A7F,2,2,1,2,1,1,2
4032ED0063E4,1,1,1,1,1,1,1
2C9EA803FF3A,2,2,2,2,2,1,2
10DA9316D02D,2,2,1,2,1,1,2
25130AAA9552,1,1,1,1,1,1,1
1151BAA93780,2,3,2,2,2,2,3
63146C2EA477,1,1,1,1,1,1,1
23F0ABEF8370,2,2,1,1,1,1,1
0F9DDF417CDA,2,2,2,2,1,2,2
871097AE113C,1,1,1,1,1,1,1
C27C72D6E208,2,3,2,2,2,2,2
90978A2F8599,2,2,1,1,1,1,2
83FEB27FD31E,2,2,1,2,1,1,2
8B1F8FCC9E56,2,2,1,2,1,1,2
A2BA5F95C077,2,2,2,1,1,1,2
E8C554B25F19,1,1,1,1,1,1,1
9B5E142C63AC,2,2,2,1,1,1,2
8EE0540E163D,1,1,1,1,1,1,1
68C346DDE213,2,2,2,2,2,1,2
D99C71A15BA0,2,2,2,2,1,1,2
14B667544F4E,2,2,1,1,1,1,2
2DA1C5338C78,2,3,2,2,2,2,3
8B1883B7393C,3,4,3,3,2,4,4
5E830B6462DB,2,2,1,1,1,1,2
669A736CF0B4,2,2,2,2,1,1,2
24008FFDB479,2,2,1,2,1,1,2
60623DB5DE7A,2,2,2,2,2,1,2
BD9FE34E4670,2,2,2,2,2,1,2
8C8B11C308CF,2,2,2,2,1,1,2
5EE6F7530113,1,1,1,1,1,1,1
76C2E20AF20E,2,3,2,2,2,2,3
46977B27324C,2,2,1,1,1,1,2
AA03F87A4A75,1,1,1,1,1,1,1
02A7A3AFFBD5,2,2,2,2,1,1,2
907FC59841EC,1,1,1,1,1,1,1
E52BA6E4D7EE,1,1,1,1,1,1,1
E3DBC3B092A7,1,1,1,1,1,1,1
12E3D52345C6,4,4,4,4,3,4,4
51A7C4616A18,1,1,1,1,1,1,1
04FA62C5F269,1,1,1,1,1,1,1
C537E278BAE6,1,1,1,1,1,1,1
34E9C436DECE,1,1,1,1,1,1,1
