overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions,essay_id
3,2,4,3,2,4,3,9CDD8FC77D5A
2,1,3,2,1,2,3,C19EDCF7BDD6
2,1,3,3,2,2,4,99D067A7FA9C
3,2,4,3,2,3,4,8E40E03B113A
2,1,3,4,2,2,3,9A96A89DF959
2,1,2,3,2,2,3,C4472C6DFE66
2,1,3,3,2,2,3,4668B9F74078
2,1,2,3,2,2,2,8C44127FF83C
3,2,4,4,3,4,4,1FB9B9E08786
2,2,3,2,2,2,3,840357B74A16
3,2,4,3,2,4,4,4C6E08E611EA
2,1,2,2,1,3,4,471BD41D6BA9
2,2,3,4,2,3,4,48CD3C2E57E9
2,1,3,2,1,2,4,50611B996992
2,1,3,2,1,2,3,AD095F1ADE0A
2,1,3,3,2,4,3,55AEC9A9BB4C
2,1,2,3,2,2,4,77D8D85C6451
2,2,3,3,2,4,4,9523FBA791BE
3,2,4,3,2,3,4,D5AC4A35BAF8
2,1,2,3,2,3,3,FCE7BA86AFDF
2,1,4,3,2,4,3,662E92CD6A6E
2,1,3,3,2,3,4,B5FF33681C22
2,2,3,3,2,4,4,2F0BD3FAFB2E
2,1,2,2,1,1,2,D3F44CC7EC17
3,2,4,3,2,3,4,41EAC230D430
1,1,1,1,1,1,1,E0BFF1488787
2,2,3,2,2,2,2,4E81E4116D94
2,1,2,3,2,2,2,999F3229AC57
3,2,4,4,2,4,4,4A87CFC37238
1,1,1,1,1,1,1,62A6A91A2C46
3,2,4,3,2,3,4,48F7FCAD8B23
2,1,3,3,2,2,4,5A75500DC0E2
2,1,2,3,2,1,2,49619EA08A55
3,2,4,3,2,3,4,39E0A362CF29
2,1,2,2,1,2,3,480C577BC8C9
2,2,3,3,2,2,3,2B62F285FD21
2,1,3,2,2,4,3,947DF52352AB
2,2,2,3,2,2,3,8AB06719AED1
2,1,2,3,2,2,2,9054912D1EA7
3,2,4,4,3,4,4,209A6BC99DB9
3,2,4,4,3,4,4,3480D4CCF0B5
2,1,2,3,1,2,2,2BAFBD6D9755
1,1,1,1,1,1,1,C5813A0D6AF5
2,1,3,2,2,1,2,3821238FE334
1,1,1,1,1,1,1,E52BD4FC3FF0
1,1,1,1,1,1,1,E376D913FA25
2,1,1,2,1,1,2,41BB825BAEBB
2,2,3,4,2,2,2,01E7242A2AD7
2,1,3,3,2,2,3,3691B4714FD5
1,1,1,1,1,1,1,ED57CFEC1CF1
2,1,3,3,2,2,4,C868C220A380
2,1,3,3,2,3,4,9E4F43374DD5
2,1,1,2,1,1,2,AAF5D100E836
2,1,3,4,2,3,3,E0B86027C5C5
2,1,3,3,2,2,4,4CFAF19AF547
2,1,3,3,2,2,4,7DC02C918305
4,4,4,4,3,4,4,3EE4C10E9149
1,1,1,1,1,1,1,9B4C52064991
3,2,4,4,3,4,3,830CCF8E0B23
3,2,4,3,2,4,4,366725B151D7
2,1,3,2,2,2,4,6CB31DED1BF0
2,2,3,2,2,2,3,A3C8FABB8B29
2,1,2,3,1,2,2,20E194B18D0E
1,1,1,1,1,1,1,CB0BF6DDF9B7
3,2,4,3,2,4,4,29BB45AA907C
2,2,2,2,2,2,3,0757FE18DBAA
3,2,4,4,3,4,4,98D8FF9E3C56
2,1,2,3,1,2,2,314E6ED40C6A
2,1,2,3,2,2,2,B39F335086FB
2,2,3,3,2,4,3,DE54A8F9C29C
3,3,4,3,2,4,4,F7DC6C783239
2,2,3,4,2,3,3,744C96D9BE0B
1,1,1,1,1,1,1,6FBD476D8AC9
3,2,4,3,2,4,4,4A3A73608D0E
3,2,4,4,3,4,4,4994A639ED75
3,2,3,3,2,4,4,D185087926CD
2,2,3,3,2,2,3,6AA75E61D3C1
3,2,4,3,2,4,4,78303F7A5AB0
