id,pred
1,A
2,A
3,A
4,B
6,A
7,A
8,B
9,A
10,A
11,A
12,A
13,B
14,A
15,A
16,B
17,A
18,A
19,A
20,B
21,A
22,B
23,A
24,A
25,A
26,B
27,A
28,A
29,A
30,A
31,B
32,A
33,B
34,B
35,A
36,A
37,A
38,A
39,A
40,A
41,A
42,A
43,A
44,B
45,A
46,A
47,A
48,A
49,B
50,A
51,B
52,A
54,A
56,A
57,B
58,B
59,A
60,B
63,A
64,B
65,A
66,B
67,A
68,B
69,A
70,A
71,B
72,B
73,B
74,B
75,A
76,A
77,B
78,B
79,B
80,A
81,A
82,B
83,B
84,A
85,B
86,A
87,B
88,A
89,A
90,A
91,A
92,A
93,B
94,A
95,B
96,A
97,B
98,A
99,A
100,B
