,Model,Accuracy
0,qwen-2.5-7b-it,84.84848484848484
1,qwen-2.5-7b-it-1m,83.33333333333334
2,qwen-2.5-3b-it,81.81818181818183
3,mistral-8b-it-2410,78.78787878787878
4,mistral-nemo-it-2407,75.75757575757575
5,phi-4-mini-it,71.21212121212122
6,olmoe-1b-7b-0924-it,68.18181818181817
7,mistral-7b-it-v0.3,68.18181818181817
8,phi-3.5-mini-it,66.66666666666666
9,flan-t5-xl,66.66666666666666
10,llama-3.2-3b-it,63.63636363636363
11,flan-t5-large,60.60606060606061
12,phi-3-mini-4k-it,60.60606060606061
13,olmo-7b-it,60.60606060606061
14,gemma-2-2b-it,60.60606060606061
15,phi-3-medium-4k-it,59.09090909090909
16,qwen-2.5-1.5b-it,57.57575757575758
17,gemma-1.1-2b-it,57.57575757575758
18,qwen-2.5-0.5b-it,53.03030303030303
19,llama-3.2-1b-it,48.484848484848484
20,flan-t5-base,46.96969696969697
21,flan-t5-small,46.96969696969697
22,mistral-7b-it-v0.1,46.96969696969697
23,llama-3-8b-it,45.45454545454545
