id,pred
1,A
2,A
3,A
4,A
5,A
6,A
7,B
8,A
9,A
10,B
11,A
12,A
13,A
14,A
15,A
16,A
17,A
18,A
19,A
20,A
21,B
22,A
23,A
24,A
25,A
26,A
27,A
28,A
29,A
30,A
31,A
32,B
33,B
34,B
35,A
36,A
37,A
38,B
39,A
40,A
41,A
42,A
43,B
44,B
45,A
46,A
47,A
48,A
49,A
50,A
51,A
52,B
53,A
54,A
55,A
56,A
57,A
58,B
59,A
60,A
61,A
62,A
63,A
64,A
65,B
66,A
67,A
68,A
69,A
70,B
71,A
72,A
73,B
74,A
75,A
76,B
77,A
78,B
79,A
80,A
81,A
82,A
83,A
84,A
85,B
86,B
87,A
88,B
89,B
90,A
91,A
92,A
93,A
94,A
95,A
96,A
97,A
98,A
99,A
100,A
101,A
102,A
103,A
104,B
105,A
106,B
107,A
108,A
109,B
110,A
111,B
112,A
113,A
114,B
115,A
116,A
117,A
118,B
119,A
120,B
121,A
122,A
123,A
124,A
125,B
126,B
127,A
128,A
129,B
130,A
131,B
132,A
133,A
134,A
135,A
136,A
137,B
138,A
139,B
140,A
141,A
142,A
143,A
144,A
145,B
146,A
147,A
148,B
149,A
150,A
151,A
152,A
153,A
154,A
155,A
156,A
157,B
158,A
159,A
160,A
161,A
162,B
163,A
164,A
165,A
166,B
167,B
168,A
169,A
170,A
171,A
172,B
173,A
174,A
175,A
176,B
177,A
178,B
179,A
180,A
181,B
182,A
183,B
184,B
185,A
186,A
187,A
188,A
189,A
190,B
191,A
192,A
193,B
194,A
195,A
196,B
197,A
198,B
199,A
