id,pred
1,A
2,B
3,A
4,B
5,B
6,A
7,A
8,A
9,A
10,A
11,A
12,A
13,A
14,A
15,A
16,B
17,A
18,A
19,B
20,A
21,B
22,B
23,A
24,A
25,B
27,A
29,B
31,A
32,B
33,B
35,B
36,A
37,B
38,A
40,B
41,A
42,B
43,B
44,B
45,B
46,B
47,A
48,A
49,A
50,A
51,A
52,A
53,A
54,B
56,A
58,B
59,B
60,A
61,A
62,A
63,B
64,B
65,B
66,A
67,A
68,B
69,A
71,A
73,A
74,B
75,A
79,A
81,A
82,A
83,A
85,B
86,B
87,A
88,B
89,B
90,A
91,B
92,B
93,B
94,B
95,A
96,A
97,A
98,A
99,B
100,B
