id,pred
1,B
2,A
3,A
4,B
5,B
6,A
7,A
8,B
9,B
10,B
11,A
12,B
13,A
14,B
15,A
16,B
17,A
18,A
19,A
20,B
21,B
22,B
23,B
24,B
25,A
26,B
27,A
28,B
29,A
30,B
31,B
32,B
33,B
34,A
35,A
36,A
37,A
38,A
39,A
40,A
41,A
42,B
43,A
44,B
45,B
46,A
47,B
48,B
49,B
50,B
51,B
52,B
53,A
54,A
55,A
56,B
57,B
58,B
59,B
60,B
61,B
62,A
63,B
64,A
65,A
66,B
67,B
68,B
69,B
70,B
71,A
72,A
73,A
74,B
75,B
76,B
77,B
78,B
79,A
80,A
81,A
82,B
83,A
84,A
85,A
86,B
87,B
88,A
89,A
90,A
91,A
92,B
93,B
94,B
95,A
96,B
97,B
98,B
99,B
100,B
