id,pred
1,A
2,A
3,B
4,A
5,A
6,A
7,B
8,A
9,A
10,B
11,A
12,B
13,B
14,A
15,A
16,A
17,A
18,A
19,B
20,A
21,A
23,A
24,A
25,A
27,A
28,A
29,A
30,A
31,A
32,A
33,A
34,A
35,A
36,A
37,A
38,A
39,B
40,A
41,A
42,A
43,B
44,A
45,A
46,A
47,B
48,A
49,A
50,A
51,A
52,B
53,A
54,A
55,B
56,A
57,A
58,A
59,A
61,A
62,A
63,B
64,A
65,A
66,A
67,A
68,A
69,B
70,B
71,A
72,B
73,B
74,A
75,A
76,A
77,A
78,B
79,A
80,B
81,A
82,A
83,A
84,A
85,B
86,A
87,A
88,B
89,A
90,A
91,A
92,A
94,A
95,A
96,A
97,B
98,A
99,A
100,A
102,A
104,B
105,B
106,A
107,A
108,A
109,A
110,A
111,A
112,A
113,A
114,A
115,A
116,A
117,A
118,A
119,A
120,A
121,A
122,A
124,B
125,A
126,B
127,A
128,A
129,B
130,A
131,A
132,A
133,A
134,A
135,A
136,A
137,B
138,A
139,A
140,A
141,A
142,A
143,A
144,A
145,A
146,A
147,A
148,B
149,A
150,B
152,A
153,A
154,A
155,A
156,A
157,A
158,B
159,A
160,A
161,A
162,A
163,A
164,A
165,A
166,B
167,B
168,A
169,A
170,A
171,A
172,A
173,B
174,A
175,A
176,A
177,A
178,B
179,A
180,A
181,A
182,A
183,B
184,A
185,A
187,A
188,A
189,A
190,A
191,A
192,A
193,A
194,A
195,A
196,B
197,A
198,A
199,A
