,Model,IFEval,Big_Bench_Hard,MuSR,Theta_2pl,Theta
0,qwen-2.5-7b-it-1m,74.48,35.03,9.52,1.5000451803207397,0.32657590508461
1,qwen-2.5-3b-it,64.75,25.8,7.57,1.3879083395004272,0.22972042858600616
2,qwen-2.5-1.5b-it,44.76,19.81,3.19,1.0716290473937988,-0.040206775069236755
3,qwen-2.5-0.5b-it,30.71,8.43,0.94,0.3444279432296753,-0.6995662450790405
4,phi-3.5-mini-instruct,57.75,36.75,10.1,1.9363317489624023,0.6194818615913391
5,olmoe-1b-7b-0924-it,46.67,14.57,6.07,-0.19949683547019958,-0.5865482091903687
6,olmo-7b-it,34.73,13.16,4.33,-0.30343207716941833,-0.6847560405731201
7,llama-3.2-3b-it,73.93,24.06,1.37,0.4566054344177246,-0.6220447421073914
8,llama-3.2-3b,13.37,14.23,3.81,-1.0061752796173096,-1.1011308431625366
9,llama-3.2-1b-it,56.98,8.74,2.97,-0.5504438877105713,-0.7859781980514526
10,llama-3-8b-it,74.08,28.24,1.6,1.8671013116836548,0.6440623998641968
11,gpt2-xl,20.39,2.58,4.04,-1.2887150049209595,-1.299021601676941
12,gpt2-small,17.93,2.67,15.35,-1.313103199005127,-1.1019561290740967
13,gpt2-medium,5.9,22.08,2.72,-0.2912786900997162,-0.7049888372421265
14,gpt2-large,20.48,3.25,5.66,-0.8434847593307495,-0.8970627784729004
15,gemma-7b,26.59,21.12,10.98,0.8380250930786133,-0.12301528453826904
16,gemma-2b,26.9,5.21,3.03,1.519590973854065,0.17512017488479614
17,gemma-2-2b-it,56.68,17.98,7.08,2.0276167392730713,0.9977900981903076
18,gemma-1.1-2b-it,30.67,5.86,2.02,1.7328687906265259,0.3244825601577759
19,flan-t5-large,22.01,17.51,9.01,1.5582743883132935,0.19529807567596436
