overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions,essay_id
4,3,4,2,2,4,4,9CDD8FC77D5A
3,2,4,4,3,4,3,C19EDCF7BDD6
4,3,4,4,4,4,4,99D067A7FA9C
4,3,3,4,4,4,4,8E40E03B113A
4,3,2,4,3,4,4,9A96A89DF959
3,2,4,4,3,4,4,C4472C6DFE66
4,4,3,4,2,4,4,4668B9F74078
4,3,2,4,3,4,4,8C44127FF83C
4,3,4,4,4,4,4,1FB9B9E08786
4,3,2,3,2,3,3,840357B74A16
4,3,3,3,2,4,4,4C6E08E611EA
4,3,3,2,2,3,4,471BD41D6BA9
4,3,2,3,3,4,3,48CD3C2E57E9
4,3,2,3,3,4,3,50611B996992
4,3,4,4,2,4,4,AD095F1ADE0A
4,3,3,3,2,4,4,55AEC9A9BB4C
4,3,4,4,2,4,4,77D8D85C6451
4,3,2,3,3,3,3,9523FBA791BE
4,3,4,2,4,4,4,D5AC4A35BAF8
4,3,3,2,2,2,3,FCE7BA86AFDF
4,2,4,4,3,4,4,662E92CD6A6E
4,3,4,4,4,4,4,B5FF33681C22
3,2,4,2,2,4,4,2F0BD3FAFB2E
4,3,3,3,2,4,3,D3F44CC7EC17
4,3,3,2,3,3,3,41EAC230D430
2,2,2,2,2,2,2,E0BFF1488787
4,3,4,2,2,3,4,4E81E4116D94
3,2,4,4,3,4,4,999F3229AC57
4,3,2,3,3,4,4,4A87CFC37238
4,3,2,4,4,4,4,62A6A91A2C46
3,2,4,4,3,4,4,48F7FCAD8B23
3,2,4,4,2,5,5,5A75500DC0E2
4,3,4,4,2,4,4,49619EA08A55
4,3,4,4,4,4,4,39E0A362CF29
4,3,4,2,3,4,3,480C577BC8C9
4,3,4,2,4,4,4,2B62F285FD21
4,3,3,2,3,4,4,947DF52352AB
4,4,4,4,4,4,4,8AB06719AED1
4,3,2,4,3,4,4,9054912D1EA7
4,3,4,4,2,4,4,209A6BC99DB9
4,3,3,2,2,3,3,3480D4CCF0B5
4,3,3,2,2,2,2,2BAFBD6D9755
3,2,4,4,3,4,4,C5813A0D6AF5
4,3,4,2,2,4,4,3821238FE334
3,2,4,4,4,4,4,E52BD4FC3FF0
4,3,3,2,3,4,4,E376D913FA25
4,3,3,2,3,4,4,41BB825BAEBB
4,3,3,2,2,2,2,01E7242A2AD7
4,3,4,4,2,4,4,3691B4714FD5
3,2,3,2,2,3,3,ED57CFEC1CF1
4,3,3,4,3,4,4,C868C220A380
4,3,4,4,2,4,4,9E4F43374DD5
4,3,3,3,3,3,3,AAF5D100E836
4,3,4,4,4,4,4,E0B86027C5C5
3,2,4,4,3,4,4,4CFAF19AF547
4,3,4,4,2,4,4,7DC02C918305
4,3,4,2,4,4,4,3EE4C10E9149
4,3,4,2,2,4,4,9B4C52064991
4,3,4,4,3,4,4,830CCF8E0B23
4,3,3,2,2,3,3,366725B151D7
4,3,2,3,2,4,3,6CB31DED1BF0
4,3,2,4,4,4,5,A3C8FABB8B29
3,2,4,4,3,4,4,20E194B18D0E
4,3,3,4,4,4,4,CB0BF6DDF9B7
4,3,4,4,3,4,4,29BB45AA907C
4,3,4,4,4,4,4,0757FE18DBAA
4,3,2,3,3,4,4,98D8FF9E3C56
4,3,2,4,3,4,4,314E6ED40C6A
4,3,4,4,3,4,4,B39F335086FB
3,2,4,4,2,4,4,DE54A8F9C29C
4,4,4,4,4,4,4,F7DC6C783239
4,3,2,4,4,4,4,744C96D9BE0B
3,2,3,2,2,2,3,6FBD476D8AC9
4,3,4,4,3,4,4,4A3A73608D0E
4,4,3,4,4,4,4,4994A639ED75
3,4,4,3,4,4,4,D185087926CD
4,3,4,2,3,4,4,6AA75E61D3C1
4,3,2,3,2,4,4,78303F7A5AB0
4,3,4,4,3,4,4,7F0B7DDE89B2
3,3,4,4,4,4,4,C7BD62EA392F
4,3,4,2,2,4,4,0A67029FA17C
4,3,4,4,3,4,4,38E03AE14C78
4,3,3,2,2,3,4,B558AFC603D4
4,3,4,3,2,4,4,918C1880FCD8
4,3,4,4,4,4,4,B6E9E12159E3
4,3,4,3,2,4,4,8B155840CA6D
4,3,3,2,2,3,3,BF267B42A2A4
4,3,4,4,3,4,4,56E188D44884
4,3,4,2,2,4,4,29595ADA257B
4,3,4,4,4,4,4,E4C49D70C330
3,2,4,2,2,4,4,3EEB66F3630C
4,3,4,4,4,4,4,C0BC39F655F9
3,2,4,3,3,4,4,253B2D521F14
3,2,4,4,4,4,4,A0C5D3BB735F
4,3,4,2,4,4,4,FBC269A9D3AE
4,3,3,2,2,3,4,41AEF2D0D03E
4,3,4,4,3,4,4,44C1594D0950
4,3,4,4,2,4,4,DE962FEDCD9E
3,2,4,4,2,5,5,40788D50B102
4,3,4,4,2,4,4,17C7C1CAF7E8
4,3,4,4,4,4,4,9E4E221D8419
4,3,2,3,3,3,3,506A69171959
4,3,4,4,3,4,4,4D35A86F4929
4,3,4,4,2,4,4,112B891A4F41
4,3,2,3,2,3,3,71A9098715EB
4,3,3,4,2,4,4,87E3F6FDAA68
4,3,2,3,3,3,3,ADFE2CDB6FF1
4,3,2,3,3,4,4,83FD2977A14D
4,3,3,2,2,3,3,8C5BF0347F87
2,3,4,4,2,4,4,0CFDDC1CF75A
3,2,4,3,2,4,4,3DB503D247B3
4,3,2,3,2,4,4,56AC4BE71C2F
4,3,4,4,2,4,4,85E3C840FCBF
4,4,4,4,4,4,4,1D9F4510A90B
4,3,4,4,4,4,4,74FF4379012C
4,3,4,4,3,4,4,D5202DF530D1
4,3,4,2,3,4,4,642E44E8DD25
4,3,4,3,2,4,4,5E32A7855A7F
4,3,2,3,4,4,3,4032ED0063E4
4,3,2,2,2,4,4,2C9EA803FF3A
4,4,4,3,3,4,4,10DA9316D02D
3,2,4,4,3,4,4,25130AAA9552
4,3,4,4,2,4,4,1151BAA93780
4,3,2,3,2,4,4,63146C2EA477
4,3,4,4,4,4,4,23F0ABEF8370
4,3,4,4,2,4,4,0F9DDF417CDA
3,2,4,3,2,4,3,871097AE113C
4,3,4,4,2,4,4,C27C72D6E208
3,3,4,4,4,4,4,90978A2F8599
4,3,3,2,3,3,3,83FEB27FD31E
4,3,4,4,2,4,4,8B1F8FCC9E56
4,3,2,3,3,4,4,A2BA5F95C077
4,3,4,4,4,4,4,E8C554B25F19
4,3,4,4,2,4,4,9B5E142C63AC
3,2,4,3,2,4,3,8EE0540E163D
4,3,4,4,4,4,4,68C346DDE213
4,3,4,4,4,4,4,D99C71A15BA0
4,3,2,3,2,4,4,14B667544F4E
4,4,4,4,4,4,4,2DA1C5338C78
3,2,2,2,2,3,3,8B1883B7393C
4,3,3,2,3,4,4,5E830B6462DB
4,3,4,4,4,4,4,669A736CF0B4
4,3,2,4,3,4,4,24008FFDB479
4,3,4,4,4,4,4,60623DB5DE7A
4,3,4,4,2,4,4,BD9FE34E4670
4,3,2,3,3,3,3,8C8B11C308CF
3,2,4,3,2,4,4,5EE6F7530113
4,4,4,4,4,4,4,76C2E20AF20E
4,3,4,4,2,4,4,46977B27324C
4,3,4,4,4,4,4,AA03F87A4A75
2,3,4,4,3,4,4,02A7A3AFFBD5
4,2,3,3,3,4,3,907FC59841EC
4,3,4,4,3,4,4,E52BA6E4D7EE
4,3,3,2,2,4,4,E3DBC3B092A7
4,3,2,3,2,4,4,12E3D52345C6
2,2,3,4,2,4,4,51A7C4616A18
4,3,4,4,2,4,4,04FA62C5F269
3,2,4,3,3,4,4,C537E278BAE6
3,3,4,3,3,4,4,34E9C436DECE
4,2,3,3,3,4,4,52D244740799
4,3,3,4,2,4,4,916C937AF222
