essay_id,conventions,cohesion,grammar,vocabulary,overall,phraseology,syntax
9CDD8FC77D5A,3,3,3,3,3,3,3
C19EDCF7BDD6,3,3,3,3,3,3,3
99D067A7FA9C,3,3,3,3,3,3,3
8E40E03B113A,3,3,3,3,3,3,3
9A96A89DF959,3,3,3,3,3,3,3
C4472C6DFE66,3,3,3,3,3,3,3
4668B9F74078,3,3,3,3,3,3,3
8C44127FF83C,3,3,3,3,3,3,3
1FB9B9E08786,3,3,3,3,3,3,3
840357B74A16,3,3,3,3,3,3,3
4C6E08E611EA,3,3,3,3,3,3,3
471BD41D6BA9,3,3,3,3,3,3,3
48CD3C2E57E9,3,3,3,3,3,3,3
50611B996992,3,3,3,3,3,3,3
AD095F1ADE0A,3,3,3,3,3,3,3
55AEC9A9BB4C,3,3,3,3,3,3,3
77D8D85C6451,3,3,3,3,3,3,3
9523FBA791BE,3,3,3,3,3,3,3
D5AC4A35BAF8,3,3,3,3,3,3,3
FCE7BA86AFDF,3,3,3,2,3,3,2
662E92CD6A6E,3,3,3,3,3,3,3
B5FF33681C22,3,3,3,3,3,3,3
2F0BD3FAFB2E,3,2,3,3,3,3,3
D3F44CC7EC17,3,3,3,3,3,3,3
41EAC230D430,3,3,3,3,3,3,3
E0BFF1488787,3,3,3,3,3,3,3
4E81E4116D94,3,3,3,3,3,3,3
999F3229AC57,3,3,3,3,3,3,3
4A87CFC37238,3,3,3,3,3,3,3
62A6A91A2C46,3,3,3,3,3,3,3
48F7FCAD8B23,3,3,3,3,3,3,3
5A75500DC0E2,3,2,3,3,3,3,3
49619EA08A55,3,3,3,3,3,3,3
39E0A362CF29,3,3,3,3,3,3,3
480C577BC8C9,3,3,3,3,3,3,3
2B62F285FD21,3,3,3,3,3,3,3
947DF52352AB,3,3,3,3,3,3,3
8AB06719AED1,3,3,3,3,3,3,3
9054912D1EA7,3,3,3,3,3,3,3
209A6BC99DB9,3,3,3,3,3,3,3
3480D4CCF0B5,3,3,3,3,3,3,3
2BAFBD6D9755,3,3,3,3,3,3,3
C5813A0D6AF5,3,3,3,3,3,3,3
3821238FE334,3,3,3,3,3,3,3
E52BD4FC3FF0,3,3,3,3,3,3,3
E376D913FA25,3,3,3,3,3,3,3
41BB825BAEBB,3,3,3,3,3,3,3
