essay_id,overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions
9CDD8FC77D5A,2,3,1,2,2,1,2
C19EDCF7BDD6,2,3,2,2,2,2,2
99D067A7FA9C,2,2,1,1,1,1,1
8E40E03B113A,4,4,4,3,3,4,4
9A96A89DF959,2,3,2,2,2,2,3
C4472C6DFE66,3,2,2,2,2,3,3
4668B9F74078,2,2,2,1,1,2,2
8C44127FF83C,1,1,1,1,1,1,1
1FB9B9E08786,3,2,3,2,2,2,3
840357B74A16,2,2,1,1,1,1,1
4C6E08E611EA,2,3,1,1,1,1,1
471BD41D6BA9,2,2,1,2,1,1,2
48CD3C2E57E9,2,3,1,2,2,1,2
50611B996992,2,2,1,1,1,1,1
AD095F1ADE0A,2,2,1,2,2,1,1
55AEC9A9BB4C,2,2,1,1,1,1,1
77D8D85C6451,2,3,2,1,1,1,1
9523FBA791BE,3,4,2,2,2,2,3
D5AC4A35BAF8,2,3,1,2,2,1,2
FCE7BA86AFDF,2,2,1,1,1,1,1
662E92CD6A6E,2,2,2,1,1,1,1
B5FF33681C22,3,2,2,2,2,1,2
2F0BD3FAFB2E,2,3,1,2,2,1,2
D3F44CC7EC17,2,2,1,1,1,1,1
41EAC230D430,3,2,2,2,2,2,3
E0BFF1488787,1,1,1,1,1,1,1
4E81E4116D94,2,3,1,2,2,1,2
999F3229AC57,2,2,2,1,1,1,1
4A87CFC37238,3,2,2,2,2,2,2
62A6A91A2C46,2,1,1,1,1,1,1
48F7FCAD8B23,3,2,2,2,2,2,3
5A75500DC0E2,4,3,2,2,1,2,3
49619EA08A55,2,3,2,2,2,1,2
39E0A362CF29,3,4,2,2,3,1,4
480C577BC8C9,2,3,1,2,2,1,2
2B62F285FD21,2,3,1,2,2,1,1
947DF52352AB,2,2,1,1,1,1,1
8AB06719AED1,2,3,1,2,2,1,2
9054912D1EA7,2,1,1,1,1,1,1
209A6BC99DB9,3,2,2,1,1,1,1
3480D4CCF0B5,3,4,2,2,2,2,3
2BAFBD6D9755,2,2,1,1,1,1,1
C5813A0D6AF5,2,1,1,1,1,1,1
3821238FE334,2,3,2,2,2,1,2
E52BD4FC3FF0,2,2,1,2,2,1,1
E376D913FA25,2,3,1,2,2,1,2
41BB825BAEBB,3,4,2,2,2,2,4
01E7242A2AD7,2,3,1,1,1,1,1
3691B4714FD5,2,2,1,1,1,1,1
ED57CFEC1CF1,2,1,1,1,1,1,1
C868C220A380,2,2,1,1,1,1,1
9E4F43374DD5,2,2,1,1,1,1,1
AAF5D100E836,2,2,1,1,1,1,1
E0B86027C5C5,2,3,1,2,2,1,2
4CFAF19AF547,3,2,2,2,2,2,2
7DC02C918305,3,2,2,2,1,2,2
3EE4C10E9149,4,4,4,3,3,4,4
9B4C52064991,2,1,1,1,1,1,1
830CCF8E0B23,2,3,1,2,1,1,2
366725B151D7,2,2,1,1,1,1,1
6CB31DED1BF0,2,3,1,2,2,1,2
A3C8FABB8B29,2,2,1,1,1,1,1
20E194B18D0E,2,2,1,1,1,1,1
CB0BF6DDF9B7,1,1,1,1,1,1,1
29BB45AA907C,3,4,2,2,2,2,3
0757FE18DBAA,2,3,1,2,1,1,2
98D8FF9E3C56,3,4,2,2,2,2,3
314E6ED40C6A,2,2,1,2,1,1,1
B39F335086FB,2,2,1,1,1,1,1
DE54A8F9C29C,4,4,4,3,3,4,4
F7DC6C783239,2,2,1,1,1,1,1
744C96D9BE0B,3,2,2,2,1,2,3
6FBD476D8AC9,2,3,1,2,2,1,1
4A3A73608D0E,3,2,2,2,2,2,3
4994A639ED75,3,4,3,2,3,2,4
D185087926CD,2,2,1,1,1,1,1
6AA75E61D3C1,2,3,1,1,1,1,1
78303F7A5AB0,2,3,1,2,2,1,2
7F0B7DDE89B2,2,1,1,1,1,1,1
C7BD62EA392F,2,3,1,2,2,1,2
0A67029FA17C,1,1,1,1,1,1,1
38E03AE14C78,3,2,2,2,2,2,2
B558AFC603D4,2,3,1,1,1,1,1
918C1880FCD8,2,3,2,2,2,1,2
B6E9E12159E3,2,2,2,1,1,1,1
8B155840CA6D,2,3,2,2,2,1,2
BF267B42A2A4,2,3,2,2,2,1,2
56E188D44884,2,2,1,1,1,1,1
29595ADA257B,2,3,1,2,2,1,2
E4C49D70C330,3,4,2,2,2,2,4
3EEB66F3630C,2,1,1,1,1,1,1
