,Model,Accuracy
0,qwen-2.5-7b-it-1m,75.51020408163265
1,phi-3-medium-4k-it,74.14965986394559
2,olmo-2-0325-32b-it,72.78911564625851
3,qwen-2.5-7b-it,72.10884353741497
4,llama-3-8b-it,71.42857142857143
5,qwen-2.5-3b-it,71.42857142857143
6,phi-3.5-mini-it,71.42857142857143
7,qwen-2.5-1.5b-it,68.02721088435374
8,llama-3.2-3b-it,68.02721088435374
9,mistral-8b-it-2410,66.66666666666666
10,mistral-7b-it-v0.3,65.98639455782312
11,flan-t5-xl,64.62585034013605
12,gemma-1.1-2b-it,59.183673469387756
13,phi-4-mini-it,57.82312925170068
14,gemma-2-2b-it,54.421768707483
15,olmo-7b-it,53.06122448979592
16,mistral-7b-it-v0.1,51.70068027210885
17,flan-t5-large,51.70068027210885
18,flan-t5-base,50.34013605442177
19,flan-t5-small,50.34013605442177
20,olmoe-1b-7b-0924-it,49.65986394557823
21,llama-3.2-1b-it,47.61904761904761
22,qwen-2.5-0.5b-it,46.93877551020408
