id,pred
1,A
2,A
3,A
4,B
5,A
6,A
7,B
8,A
9,A
10,B
11,A
12,B
13,B
14,B
15,A
16,A
17,A
18,A
19,A
20,B
21,B
22,A
23,B
24,A
25,A
26,B
27,A
28,B
29,A
30,A
31,A
32,B
33,B
34,B
35,A
36,B
37,A
38,B
39,B
40,A
41,A
42,A
43,A
44,A
45,A
46,A
47,A
48,B
49,B
50,A
51,B
52,B
53,A
54,A
55,B
56,A
57,B
58,B
59,A
60,A
61,B
62,A
63,B
64,A
65,B
66,B
67,B
68,B
69,A
70,B
71,A
72,A
73,B
74,A
75,A
76,B
77,B
78,A
79,A
80,A
81,A
82,A
83,B
84,A
85,B
86,B
87,A
88,B
89,B
90,A
91,B
92,B
93,B
94,B
95,A
96,B
97,A
98,B
99,A
100,A
101,A
102,A
103,B
104,B
105,A
106,B
107,A
108,A
109,B
110,B
111,A
112,B
113,B
114,B
115,A
116,B
117,A
118,B
119,B
120,B
121,A
122,A
123,A
124,B
125,B
126,B
127,A
128,A
129,B
130,A
131,B
132,B
133,A
134,A
135,A
136,B
137,B
138,B
139,B
140,A
141,B
142,A
143,A
144,A
145,B
146,A
147,A
148,B
149,A
150,A
151,A
152,A
153,A
154,A
155,A
156,B
157,B
158,A
159,B
160,A
161,A
162,B
163,A
164,B
165,A
166,B
167,B
168,A
169,A
170,B
171,A
172,B
173,A
174,A
175,B
176,B
177,A
178,B
179,A
180,B
181,B
182,B
183,B
184,B
185,A
186,A
187,A
188,A
189,A
190,B
191,A
192,B
193,B
194,A
195,B
196,B
197,B
198,A
199,A
