id,pred
1,A
2,A
3,A
4,A
5,B
6,A
7,A
8,A
9,B
10,A
11,A
12,B
13,A
14,A
15,A
16,B
17,A
18,A
19,A
20,B
21,A
22,B
23,A
24,A
25,A
26,A
27,A
28,A
29,B
30,B
31,A
32,A
33,B
34,A
35,A
36,A
37,A
38,A
39,A
40,A
41,A
42,A
43,A
44,B
45,A
46,A
47,A
48,A
49,B
50,B
51,B
52,B
53,A
54,A
55,A
56,A
57,A
58,B
59,A
60,B
61,A
62,A
63,A
64,A
65,A
66,A
67,A
68,A
69,A
70,A
71,B
72,B
73,A
74,A
75,A
76,A
77,B
78,B
79,B
80,A
81,A
82,A
83,A
84,A
85,A
86,A
87,A
88,A
89,A
90,A
91,A
92,A
93,A
94,B
95,A
96,A
97,B
98,A
99,B
100,A
