essay_id,pred
9CDD8FC77D5A," {
  ""overall"": 3,
  ""cohesion"": 3,
  ""syntax"": 3,
  ""vocabulary"": 3,
  ""phraseology"": 3,
  ""grammar"": 4,
  ""conventions"": 3
}"
C19EDCF7BDD6," {
  ""overall"": 2,
  ""cohesion"": 2,
  ""syntax"": 2,
  ""vocabulary"": 2,
  ""phraseology"": 2,
  ""grammar"": 2,
  ""conventions"": 2
}
"
99D067A7FA9C," {
  ""overall"": 4,
  ""cohesion"": 4,
  ""syntax"": 4,
  ""vocabulary"": 4,
  ""phraseology"": 4,
  ""grammar"": 4,
  ""conventions"": 4
}
"
8E40E03B113A," {
  ""overall"": 4,
  ""cohesion"": 4,
  ""syntax"": 3,
  ""vocabulary"": 4,
  ""phraseology"": 4,
  ""grammar"": 4,
  ""conventions"": 3
}
"
9A96A89DF959," {
  ""overall"": 5,
  ""cohesion"": 5,
  ""syntax"": 5,
  ""vocabulary"": 5,
  ""phraseology"": 5,
  ""grammar"": 5,
  ""conventions"": 5
}
"
C4472C6DFE66," {
  ""overall"": 2,
  ""cohesion"": 2,
  ""syntax"": 2,
  ""vocabulary"": 2,
  ""phraseology"": 2,
  ""grammar"": 2,
  ""conventions"": 2
}
"
4668B9F74078," {
  ""overall"": 3,
  ""cohesion"": 3,
  ""syntax"": 2,
  ""vocabulary"": 3,
  ""phraseology"": 2,
  ""grammar"": 2,
  ""conventions"": 2
}
"
8C44127FF83C," {
  ""overall"": 2,
  ""cohesion"": 2,
  ""syntax"": 2,
  ""vocabulary"": 2,
  ""phraseology"": 2,
  ""grammar"": 2,
  ""conventions"": 2
}
"
1FB9B9E08786," {
  ""overall"": 2,
  ""cohesion"": 2,
  ""syntax"": 2,
  ""vocabulary"": 2,
  ""phraseology"": 2,
  ""grammar"": 2,
  ""conventions"": 2
}
"
840357B74A16," {
  ""overall"": 3,
  ""cohesion"": 3,
  ""syntax"": 2,
  ""vocabulary"": 3,
  ""phraseology"": 2,
  ""grammar"": 2,
  ""conventions"": 2
}
"
4C6E08E611EA," {
  ""overall"": 3,
  ""cohesion"": 3,
  ""syntax"": 3,
  ""vocabulary"": 3,
  ""phraseology"": 3,
  ""grammar"": 2,
  ""conventions"": 2
}
"
471BD41D6BA9," {
  ""overall"": 2,
  ""cohesion"": 2,
  ""syntax"": 2,
  ""vocabulary"": 2,
  ""phraseology"": 2,
  ""grammar"": 2,
  ""conventions"": 2
}
"
48CD3C2E57E9," {
  ""overall"": 4,
  ""cohesion"": 4,
  ""syntax"": 4,
  ""vocabulary"": 4,
  ""phraseology"": 4,
  ""grammar"": 4,
  ""conventions"": 4
}

Note: The scores are rounded down to the nearest whole number as per the grading scale provided. The essay demonstrates a good use of language with some minor areas for improvement, hence the scores are not at the maximum level."
