essay_id,conventions,cohesion,grammar,vocabulary,overall,phraseology,syntax
9CDD8FC77D5A,4,3,3,4,3,4,4
C19EDCF7BDD6,3,3,3,3,3,3,3
99D067A7FA9C,3,3,3,3,4,4,3
8E40E03B113A,4,4,3,4,4,4,4
9A96A89DF959,3,4,3,3,3,3,4
C4472C6DFE66,3,3,3,3,3,4,3
4668B9F74078,3,4,3,4,4,4,4
8C44127FF83C,3,3,3,3,3,3,3
1FB9B9E08786,4,4,3,4,3,4,3
840357B74A16,3,3,3,4,3,3,3
4C6E08E611EA,3,4,3,3,4,4,3
471BD41D6BA9,3,3,3,3,3,3,3
48CD3C2E57E9,3,4,3,3,3,4,4
50611B996992,3,3,3,4,3,4,4
AD095F1ADE0A,3,3,3,4,3,4,3
55AEC9A9BB4C,3,4,3,4,3,4,4
77D8D85C6451,3,3,3,3,3,4,3
9523FBA791BE,3,3,3,4,3,3,3
D5AC4A35BAF8,3,3,3,3,3,4,3
FCE7BA86AFDF,4,4,3,4,4,4,3
662E92CD6A6E,3,3,3,3,3,4,3
B5FF33681C22,3,3,3,4,3,3,3
2F0BD3FAFB2E,3,3,3,3,3,3,3
D3F44CC7EC17,3,3,3,3,3,4,3
41EAC230D430,4,3,3,4,3,3,3
E0BFF1488787,3,3,3,3,3,3,3
4E81E4116D94,3,4,3,3,3,4,3
999F3229AC57,3,3,3,3,3,4,3
4A87CFC37238,3,4,3,4,4,4,3
62A6A91A2C46,3,3,3,3,3,3,3
48F7FCAD8B23,3,3,3,3,3,4,3
5A75500DC0E2,3,4,3,3,3,3,3
49619EA08A55,3,3,3,4,3,4,3
39E0A362CF29,3,3,3,4,3,4,3
480C577BC8C9,3,3,3,3,3,3,3
2B62F285FD21,4,3,3,3,3,4,3
947DF52352AB,3,3,3,3,3,3,3
8AB06719AED1,3,3,3,4,3,4,3
9054912D1EA7,3,3,3,3,3,4,3
209A6BC99DB9,4,3,3,4,4,4,4
3480D4CCF0B5,3,3,3,4,3,3,3
2BAFBD6D9755,3,3,3,3,3,4,3
C5813A0D6AF5,3,3,3,3,3,3,4
3821238FE334,3,4,3,4,4,4,4
E52BD4FC3FF0,3,3,3,3,3,3,3
E376D913FA25,3,3,3,4,3,3,3
41BB825BAEBB,4,4,3,4,4,3,4
01E7242A2AD7,3,4,3,4,3,4,4
3691B4714FD5,3,4,3,4,3,3,3
ED57CFEC1CF1,2,3,3,3,3,3,3
C868C220A380,3,3,3,3,3,4,3
9E4F43374DD5,3,4,3,3,3,4,3
AAF5D100E836,3,3,3,4,4,4,3
E0B86027C5C5,3,4,3,4,4,3,3
4CFAF19AF547,3,3,3,3,3,3,3
7DC02C918305,3,4,3,4,4,4,3
3EE4C10E9149,4,4,3,4,4,4,4
9B4C52064991,3,3,3,3,3,4,3
830CCF8E0B23,3,3,3,4,4,4,4
366725B151D7,3,3,3,4,3,4,4
6CB31DED1BF0,3,3,3,3,3,3,4
A3C8FABB8B29,3,3,3,3,3,3,3
20E194B18D0E,3,3,2,2,3,3,3
CB0BF6DDF9B7,3,3,3,3,3,3,2
29BB45AA907C,3,4,3,4,3,4,3
0757FE18DBAA,3,3,3,3,3,3,3
98D8FF9E3C56,3,4,4,3,3,4,3
314E6ED40C6A,3,3,3,3,3,3,3
B39F335086FB,3,4,3,4,4,4,4
DE54A8F9C29C,3,3,3,3,3,3,3
F7DC6C783239,3,4,3,3,3,3,3
744C96D9BE0B,3,4,3,3,4,4,4
6FBD476D8AC9,3,4,3,4,3,3,3
4A3A73608D0E,3,3,3,3,4,4,3
4994A639ED75,4,4,4,4,4,4,3
D185087926CD,3,3,3,3,3,4,3
6AA75E61D3C1,3,3,3,3,3,4,3
78303F7A5AB0,3,3,3,3,4,4,3
7F0B7DDE89B2,3,3,2,3,3,3,3
C7BD62EA392F,3,4,3,4,3,4,3
0A67029FA17C,3,3,3,3,3,4,3
38E03AE14C78,4,4,3,4,4,4,4
B558AFC603D4,4,4,3,4,3,4,3
918C1880FCD8,4,4,3,4,3,4,4
B6E9E12159E3,3,3,3,4,3,4,4
8B155840CA6D,3,4,3,4,3,3,4
BF267B42A2A4,3,3,3,4,3,4,4
56E188D44884,3,3,3,3,3,4,3
29595ADA257B,3,3,3,3,4,4,3
E4C49D70C330,3,3,3,3,3,4,3
3EEB66F3630C,3,3,3,3,3,3,3
C0BC39F655F9,4,4,3,4,4,4,3
253B2D521F14,3,3,3,3,3,3,3
A0C5D3BB735F,3,3,3,4,3,4,3
FBC269A9D3AE,3,4,3,3,3,4,4
41AEF2D0D03E,3,3,3,3,3,3,3
44C1594D0950,3,4,3,4,4,4,3
DE962FEDCD9E,3,3,3,4,4,4,4
40788D50B102,3,3,3,3,3,3,3
17C7C1CAF7E8,3,4,3,3,3,4,4
9E4E221D8419,3,4,3,4,4,4,4
506A69171959,3,4,3,4,3,4,3
4D35A86F4929,3,3,3,3,3,4,3
112B891A4F41,3,3,3,4,3,4,4
71A9098715EB,3,3,3,3,3,3,4
87E3F6FDAA68,3,3,3,4,3,4,3
ADFE2CDB6FF1,3,5,4,4,4,3,4
83FD2977A14D,3,3,3,3,3,3,3
8C5BF0347F87,3,3,3,3,3,3,3
0CFDDC1CF75A,3,3,3,3,3,3,3
3DB503D247B3,4,3,3,3,3,4,3
56AC4BE71C2F,3,3,3,3,3,4,4
85E3C840FCBF,4,4,3,4,4,4,4
1D9F4510A90B,4,4,3,4,4,4,4
74FF4379012C,3,4,3,4,4,4,4
D5202DF530D1,3,3,3,4,3,3,3
642E44E8DD25,3,3,3,3,3,3,3
5E32A7855A7F,4,5,3,5,4,5,5
4032ED0063E4,3,3,3,3,3,3,3
2C9EA803FF3A,3,3,3,4,3,3,3
10DA9316D02D,4,4,3,4,4,4,4
25130AAA9552,3,3,3,3,3,3,3
1151BAA93780,3,3,3,4,4,4,3
63146C2EA477,3,3,3,3,3,3,3
23F0ABEF8370,3,3,3,4,3,4,3
0F9DDF417CDA,3,3,3,3,3,4,3
871097AE113C,2,3,3,3,3,3,3
C27C72D6E208,3,4,3,4,4,4,4
90978A2F8599,3,3,2,3,3,3,4
83FEB27FD31E,4,3,3,4,4,4,3
8B1F8FCC9E56,3,3,3,3,3,3,3
A2BA5F95C077,3,3,3,3,3,3,3
E8C554B25F19,4,3,3,3,3,3,4
9B5E142C63AC,4,3,3,4,4,4,3
8EE0540E163D,3,3,3,2,2,2,"
"
68C346DDE213,3,4,3,4,4,4,3
D99C71A15BA0,3,3,3,3,3,4,3
14B667544F4E,3,3,3,4,3,3,3
2DA1C5338C78,3,3,3,4,4,4,4
8B1883B7393C,3,3,3,3,3,4,3
5E830B6462DB,3,3,3,4,3,4,3
669A736CF0B4,3,4,3,4,3,4,4
24008FFDB479,3,3,3,4,3,4,3
60623DB5DE7A,4,4,3,4,4,4,4
BD9FE34E4670,4,3,3,3,4,4,3
8C8B11C308CF,3,4,3,4,4,3,3
5EE6F7530113,3,3,2,3,3,3,3
76C2E20AF20E,3,3,3,4,3,3,3
46977B27324C,3,3,3,4,4,4,3
AA03F87A4A75,3,3,3,4,3,3,3
02A7A3AFFBD5,3,3,3,3,3,3,3
907FC59841EC,3,3,3,3,3,3,3
E52BA6E4D7EE,3,4,3,4,4,3,4
E3DBC3B092A7,3,3,3,3,3,3,3
12E3D52345C6,3,4,4,4,4,4,4
51A7C4616A18,3,3,3,3,3,3,3
04FA62C5F269,3,3,3,4,3,3,3
C537E278BAE6,3,3,3,3,3,3,3
34E9C436DECE,3,3,3,3,3,4,3
52D244740799,3,3,3,3,3,4,3
916C937AF222,4,4,3,4,4,4,4
A9A0D8CE21B4,3,3,3,3,3,3,3
219E44AA7948,4,4,3,4,4,4,4
507FAD8DAFB0,3,3,3,3,3,4,3
F5EA98F42452,3,3,3,4,3,4,3
CD506B5747F7,3,3,3,3,3,3,3
7D1825E2F4AD,3,3,3,3,3,4,3
4F5775B0B88D,3,3,3,4,3,4,4
A85F9CF7691D,3,3,3,3,3,4,3
EFB208F9EF60,3,4,3,3,3,4,3
AE6AE119B52F,3,3,3,4,4,4,4
