pred,id
A,1
B,2
B,3
B,4
A,5
A,6
A,7
B,8
B,9
B,10
A,11
B,12
A,13
B,14
B,15
B,16
B,17
B,18
B,19
B,20
B,21
B,22
B,23
B,24
B,25
B,26
B,27
B,28
B,29
B,30
B,31
B,32
A,33
B,34
B,35
B,36
A,37
A,38
B,39
B,40
B,41
B,42
B,43
B,44
B,45
A,46
A,47
B,48
B,49
B,50
B,51
B,52
B,53
B,54
B,55
B,56
B,57
B,58
A,59
B,60
B,61
B,62
B,63
B,64
B,65
B,66
B,67
A,68
A,69
B,70
B,71
B,72
A,73
B,74
B,75
B,76
B,77
A,78
B,79
B,80
B,81
B,82
A,83
B,84
B,85
B,86
B,87
B,88
B,89
B,90
B,91
B,92
A,93
B,94
B,95
A,96
B,97
B,98
B,99
B,100
