id,pred
1,A
2,A
3,A
4,B
5,B
6,A
7,A
8,B
9,A
10,A
11,A
12,B
13,B
14,A
15,A
16,B
17,B
18,B
19,B
20,B
21,A
22,B
23,A
24,A
25,A
26,B
27,A
28,A
29,A
30,B
31,A
32,A
33,B
34,A
35,A
36,A
37,A
38,A
39,B
40,A
41,B
42,A
43,A
44,B
45,B
46,B
47,A
48,A
49,B
50,B
51,B
52,A
53,A
54,B
55,B
56,A
57,B
58,B
59,A
60,B
61,B
62,A
63,A
64,B
65,A
66,B
67,A
68,A
69,A
70,A
71,B
72,B
73,A
74,B
75,B
76,B
77,B
78,B
79,B
80,A
81,A
82,A
83,A
84,A
85,A
86,A
87,A
88,A
89,A
90,A
91,B
92,A
93,B
94,B
95,B
96,A
97,A
98,B
99,B
100,B
