id,pred
1,A
2,B
3,A
4,A
5,B
6,A
7,B
8,B
9,A
10,B
11,A
12,B
13,B
14,A
15,A
16,A
17,A
18,A
19,B
20,A
21,B
22,A
23,A
24,A
25,A
26,A
27,A
28,A
29,A
30,A
31,A
32,B
33,A
34,B
35,A
36,B
37,B
38,B
39,A
40,A
41,A
42,A
43,B
44,B
45,A
46,A
47,B
48,A
49,A
50,A
51,A
52,B
53,A
54,A
55,A
56,A
57,B
58,A
59,B
60,A
61,A
62,A
63,B
64,B
65,B
66,A
67,B
68,A
69,B
70,B
71,A
72,B
73,B
74,A
75,A
76,A
77,B
78,B
79,A
80,B
81,A
82,A
83,A
84,A
85,B
86,B
87,A
88,B
89,B
90,B
91,A
92,B
93,A
94,A
95,B
96,B
97,A
98,A
99,A
100,B
101,A
102,A
103,A
104,A
105,A
106,B
107,A
108,B
109,B
110,A
111,B
112,A
113,B
114,A
115,A
116,A
117,A
118,A
119,B
120,B
121,A
122,B
123,A
124,B
125,B
126,B
127,A
128,A
129,B
130,B
131,B
132,B
133,A
134,A
135,A
136,B
137,B
138,A
139,B
140,A
141,A
142,B
143,A
144,A
145,A
146,B
147,A
148,B
149,B
150,A
151,A
152,A
153,A
154,A
155,A
156,B
157,B
158,B
159,B
160,A
161,A
162,A
163,B
164,A
165,B
166,B
167,B
168,A
169,A
170,A
171,A
172,B
173,B
174,A
175,B
176,B
177,A
178,B
179,B
180,B
181,B
182,A
183,A
184,B
185,A
186,A
187,A
188,A
189,A
190,B
191,A
192,B
193,A
194,A
195,A
196,B
197,A
198,B
199,B
