id_1,id_2,prompt,pred
A828480AA508,AA8DA5629CBC,Benefits of a good attitude,B
65B7FDE783F2,1732E7BCD28D,Four-day work week,B
7DC02C918305,98BD2D5840A1,Positive attitudes,B
6060D28C05B6,5AC16E188F1B,Distance learning,B
3F3DC123EDF6,CBFD5CD8BCD9,Curfews for teenagers,B
A8E686531564,9C9F45A47A92,Cell phones in classrooms,A
E3668C4C4C0C,C2AECED57C95,Community service,B
04776677F17B,D49CB44F4364,Three-year high school program,B
93385DED39E7,A202FBAF0CCD,Distance learning,B
992DB55B9726,219E44AA7948,Learning from the experience of others,B
75C950F8EA18,13EDC505534E,Enjoyable educational activities,B
3EE4C10E9149,0C28481DFBB8,Being busy,A
862ACD748291,1928846BB272,Career commitment,B
FAB189F7E4DF,44FD30777ED7,Influencing behavior,B
93E62B4919A6,A97ECE986D5F,Self-reliance,A
E9705A9C0FE5,CE98C42F51C2,Career commitment,B
E4596B010B9B,9BF717F45D68,Mandatory extracurricular activities,B
BD951BF14177,6201E4DDEC0B,Self-reliance,B
77FAA33476CA,4DAACF629E7F,Trying something beyond what you have mastered,B
82294A32E3E3,76F0144EB703,Self-reliance,B
9C37912D9442,2082C42A8F43,Success and failure,B
1DD048B373B3,CC70419F1FB7,Imagination,B
950729DE3582,AE8A9585640A,Benefits of a problem,B
BDA991AF3ABE,24B8DF4DA85A,Being busy,B
D06C5D0E60F0,505A033B2BF9,Afterschool homework club,B
29BEFF0B3FA0,F17F4DF6095D,Honesty,B
B381602F5FA6,3CD660D1E7BB,Praising student work,B
2B0888CD4C15,5ABDBEE915FF,Positive attitudes,B
3F722ACC887E,FE2115055812,Four-day work week,B
98318D414246,8AD96DB8DD9F,Imagination,B
13E1CB9819CB,663149D85F9C,Community service,B
48837626943D,112AA24D20BC,Mandatory extracurricular activities,B
B23BDDB4B5FA,8B845E27E5E0,Community service,A
6B3B3CB54EB9,5922BC57820F,Four-day work week,B
1451C7C0FE44,9AC838864995,Extended school day,B
784ADBB64B04,B39F335086FB,Positive attitudes,B
134937CE445C,97472A5E870A,Individuality,A
C582EB969552,C22B43EE7FB8,Lunch menus,B
FE8B7167BD93,423B413192FA,Working with a group or alone,B
F84E5DEFC874,3CDCFB2C7F25,Being busy,B
ECE377D2E967,CE96C25A9A26,Community service,A
36B2E183713B,5CC06295A66F,Year-round school,A
1E29EE6F0C54,FF9469424ED0,Enjoyable educational activities,B
B6FECA77D415,D3A6B04B54A9,Year-round school,B
51F9A5C5E6B8,DD96F81877AF,Places to visit,B
E80B0AD2A9D7,8F99596B66B6,Success and failure,B
DF1D43973CFA,B3F0F2F6487F,Four-day work week,B
8415937CA4D9,5CAA840DD4C6,Afterschool homework club,B
5EA5BB6A198C,BFEA2E7F1486,Individuality,B
B273951D85F2,1AB7CF99612C,Extended school day,A
6AB122D640E1,A0FB8D2B5924,Letter to employer,B
483EE18C996B,50402AFED87E,Lunch menus,A
96CCD6C82658,1300AD075785,Trying something beyond what you have mastered,B
220215A7EA1A,0B6316123881,Benefits of a problem,B
AAF42F8A396F,746A0BFABA84,First impressions,B
074E715BAE12,44612C7545E5,Trying something beyond what you have mastered,A
35D50C79C5CB,0460D496583C,Afterschool homework club,B
