overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions,essay_id
2,2,2,2,1,1,1,9CDD8FC77D5A
2,1,1,2,1,1,1,C19EDCF7BDD6
2,1,1,1,1,1,1,99D067A7FA9C
3,2,3,3,2,2,3,8E40E03B113A
2,2,2,2,1,1,1,9A96A89DF959
1,1,1,1,1,1,1,C4472C6DFE66
1,1,1,1,1,1,1,4668B9F74078
2,1,1,1,1,1,1,8C44127FF83C
1,1,1,1,1,1,1,1FB9B9E08786
2,2,2,2,1,1,1,840357B74A16
2,1,1,1,1,1,1,4C6E08E611EA
1,1,1,1,1,1,1,471BD41D6BA9
2,2,2,2,1,1,1,48CD3C2E57E9
2,1,1,1,1,1,1,50611B996992
2,1,1,1,1,1,1,AD095F1ADE0A
2,1,2,1,1,1,1,55AEC9A9BB4C
2,1,1,2,1,1,1,77D8D85C6451
2,2,3,2,1,1,1,9523FBA791BE
2,1,1,1,1,1,1,D5AC4A35BAF8
1,1,1,1,1,1,1,FCE7BA86AFDF
2,1,2,1,1,1,1,662E92CD6A6E
2,1,1,2,1,1,1,B5FF33681C22
2,1,1,2,1,1,1,2F0BD3FAFB2E
1,1,1,1,1,1,1,D3F44CC7EC17
2,1,2,1,1,1,1,41EAC230D430
1,1,1,1,1,1,1,E0BFF1488787
1,1,1,1,1,1,1,4E81E4116D94
1,1,1,1,1,1,1,999F3229AC57
2,1,1,2,1,1,1,4A87CFC37238
1,1,1,1,1,1,1,62A6A91A2C46
2,1,1,1,1,1,1,48F7FCAD8B23
2,2,2,3,1,1,1,5A75500DC0E2
2,1,1,1,1,1,1,49619EA08A55
2,1,1,2,1,1,1,39E0A362CF29
2,1,2,1,1,1,1,480C577BC8C9
2,2,1,1,1,1,1,2B62F285FD21
2,1,1,1,1,1,1,947DF52352AB
1,1,1,1,1,1,1,8AB06719AED1
2,1,1,1,1,1,1,9054912D1EA7
2,1,2,2,1,1,1,209A6BC99DB9
2,1,1,2,1,1,1,3480D4CCF0B5
1,1,1,1,1,1,1,2BAFBD6D9755
1,1,1,1,1,1,1,C5813A0D6AF5
2,1,1,1,1,1,1,3821238FE334
2,1,1,1,1,1,1,E52BD4FC3FF0
1,1,1,1,1,1,1,E376D913FA25
2,2,1,1,1,1,1,41BB825BAEBB
1,1,1,1,1,1,1,01E7242A2AD7
2,2,2,2,1,1,1,3691B4714FD5
1,1,1,1,1,1,1,ED57CFEC1CF1
1,1,1,1,1,1,1,C868C220A380
2,1,1,1,1,1,1,9E4F43374DD5
