essay_id,overall,grammar,cohesion,conventions,vocabulary,syntax,phraseology
9CDD8FC77D5A,4,4,4,4,4,4,4
C19EDCF7BDD6,3,3,3,3,3,3,3
99D067A7FA9C,4,4,3,4,4,4,4
8E40E03B113A,3,3,3,3,4,3,4
9A96A89DF959,Score 4,3,Score 4,3,3,3,3
C4472C6DFE66,3,3,3,3,3,3,3
4668B9F74078,4,4,4,4,4,4,4
8C44127FF83C,3,3,3,4,4,3,4
1FB9B9E08786,4,4,4,4,4,4,4
840357B74A16,Score 4,3,Score 4,3,3,3,3
4C6E08E611EA,4,4,4,4,4,4,4
471BD41D6BA9,3,3,3,3,3,3,3
48CD3C2E57E9,4,4,3,4,4,4,4
50611B996992,3,3,3,4,3,4,4
AD095F1ADE0A,4,4,4,4,4,4,4
55AEC9A9BB4C,4,4,4,4,4,4,4
77D8D85C6451,4,4,4,4,4,4,4
9523FBA791BE,3,3,3,3,3,3,3
D5AC4A35BAF8,3,3,Score 4,3,3,4,4
FCE7BA86AFDF,4,4,3,4,4,4,4
662E92CD6A6E,3,3,3,3,3,3,3
B5FF33681C22,4,4,4,4,4,4,4
2F0BD3FAFB2E,3,3,3,3,3,3,3
D3F44CC7EC17,4,4,4,4,4,4,4
41EAC230D430,3,3,3,3,3,3,3
E0BFF1488787,3,3,3,3,3,3,3
4E81E4116D94,Score 4,3,Score 4,3,3,3,4
999F3229AC57,3,4,3,4,4,4,4
4A87CFC37238,4,4,3,4,4,4,4
62A6A91A2C46,4,4,3,4,4,4,4
48F7FCAD8B23,Score 4,3,Score 4,3,3,3,4
5A75500DC0E2,3,3,3,3,3,3,3
49619EA08A55,4,4,4,4,4,4,4
39E0A362CF29,3,3,Score 4,3,3,3,3
480C577BC8C9,3,3,3,4,3,4,3
2B62F285FD21,4,4,4,4,4,4,4
947DF52352AB,4,4,3,4,4,4,4
8AB06719AED1,3,3,3,3,3,3,3
9054912D1EA7,4,4,4,4,4,4,4
209A6BC99DB9,4,4,4,4,4,4,4
3480D4CCF0B5,3,3,3,3,3,3,3
2BAFBD6D9755,3,4,4,4,4,4,4
C5813A0D6AF5,4,4,4,4,4,4,4
3821238FE334,4,4,4,4,4,4,4
E52BD4FC3FF0,4,4,4,4,4,4,4
E376D913FA25,3,4,3,4,4,4,4
41BB825BAEBB,4,4,4,4,4,4,4
01E7242A2AD7,4,4,4,4,4,4,4
3691B4714FD5,3,3,3,4,4,4,4
ED57CFEC1CF1,4,4,3,4,4,4,4
C868C220A380,3,3,3,3,3,3,3
9E4F43374DD5,4,4,3,4,4,4,4
AAF5D100E836,4,4,3,4,3,4,4
E0B86027C5C5,4,4,3,4,4,4,4
4CFAF19AF547,3,3,3,3,3,3,3
7DC02C918305,4,4,4,4,4,4,4
3EE4C10E9149,4,4,3,4,4,4,4
9B4C52064991,3,3,3,3,3,3,3
830CCF8E0B23,4,4,3,4,3,4,4
366725B151D7,4,4,4,4,4,4,4
6CB31DED1BF0,3,3,3,3,3,3,3
A3C8FABB8B29,4,4,4,4,4,4,4
20E194B18D0E,3,3,3,3,3,3,3
CB0BF6DDF9B7,4,4,4,4,4,4,4
29BB45AA907C,4,4,4,4,4,4,4
0757FE18DBAA,4,3,4,4,4,4,4
98D8FF9E3C56,Score 4,3,Score 4,Score 4,3,3,3
314E6ED40C6A,4,4,3,4,4,4,4
B39F335086FB,4,4,4,4,4,4,4
DE54A8F9C29C,Score 4,3,3,3,3,3,3
F7DC6C783239,3,4,3,3,3,3,4
744C96D9BE0B,4,4,3,4,4,4,4
6FBD476D8AC9,3,3,3,3,3,3,3
4A3A73608D0E,4,4,4,4,4,4,4
4994A639ED75,4,4,3,4,4,4,4
D185087926CD,3,3,3,4,3,4,4
6AA75E61D3C1,4,4,3,4,4,4,4
78303F7A5AB0,4,4,4,4,4,4,4
7F0B7DDE89B2,4,4,4,4,4,4,4
C7BD62EA392F,4,4,4,4,4,4,4
0A67029FA17C,3,3,3,3,3,3,3
38E03AE14C78,Score 4,3,3,3,3,3,3
B558AFC603D4,Score 4,3,3,3,3,3,3
918C1880FCD8,Score 4,3,Score 4,3,3,3,3
B6E9E12159E3,4,4,4,4,4,4,4
8B155840CA6D,4,4,3,4,4,4,4
BF267B42A2A4,4,4,4,4,4,4,4
56E188D44884,4,4,4,4,4,4,4
29595ADA257B,4,4,4,4,4,4,4
E4C49D70C330,3,3,3,3,3,3,3
3EEB66F3630C,3,4,3,3,4,4,4
C0BC39F655F9,4,4,4,4,4,4,4
253B2D521F14,3,3,3,3,3,3,3
A0C5D3BB735F,3,3,3,3,3,3,3
FBC269A9D3AE,4,4,4,4,4,4,4
41AEF2D0D03E,3,4,3,4,4,4,4
44C1594D0950,3,4,3,4,4,4,4
DE962FEDCD9E,4,4,4,4,4,4,4
40788D50B102,4,4,4,4,4,4,4
17C7C1CAF7E8,4,4,4,4,4,4,4
9E4E221D8419,Score 4,4,Score 4,Score 4,4,3,4
506A69171959,3,4,3,4,4,4,4
4D35A86F4929,4,4,4,4,4,4,4
112B891A4F41,4,4,3,4,4,4,4
71A9098715EB,3,4,3,3,3,3,3
87E3F6FDAA68,3,4,4,4,4,4,4
ADFE2CDB6FF1,3,3,3,3,3,3,3
83FD2977A14D,4,4,4,4,4,4,4
8C5BF0347F87,3,3,3,3,3,3,3
0CFDDC1CF75A,3,3,3,3,3,3,3
3DB503D247B3,4,3,3,4,4,4,4
56AC4BE71C2F,4,4,4,4,4,4,4
85E3C840FCBF,4,5,4,4,4,4,4
1D9F4510A90B,Score 4,4,4,4,4,4,4
74FF4379012C,4,4,4,4,4,4,4
D5202DF530D1,3,3,3,3,3,4,3
642E44E8DD25,3,3,3,3,3,3,3
5E32A7855A7F,4,4,4,4,4,4,4
4032ED0063E4,4,3,3,4,4,3,3
2C9EA803FF3A,4,4,4,4,4,4,4
10DA9316D02D,4,4,4,4,4,4,4
25130AAA9552,3,3,3,3,3,3,3
1151BAA93780,3,3,3,3,3,3,3
63146C2EA477,3,5,3,4,4,4,4
23F0ABEF8370,Score 4,4,Score 4,3,4,4,4
0F9DDF417CDA,3,4,3,4,4,4,4
871097AE113C,4,4,3,4,4,4,4
C27C72D6E208,4,4,4,4,4,4,4
90978A2F8599,3,3,3,3,3,3,3
83FEB27FD31E,4,4,4,4,4,4,4
8B1F8FCC9E56,3,4,Score 4,4,3,4,4
A2BA5F95C077,3,3,3,3,3,3,3
E8C554B25F19,Score 4,3,3,3,3,3,3
9B5E142C63AC,4,4,Score 4,4,4,4,4
8EE0540E163D,4,4,4,4,4,4,4
68C346DDE213,Score 4,4,Score 4,Score 4,3,Score 4,3
D99C71A15BA0,4,4,3,4,4,4,4
14B667544F4E,Score 3,3,3,3,3,3,3
2DA1C5338C78,4,4,3,4,4,4,4
8B1883B7393C,3,3,3,3,3,3,3
5E830B6462DB,4,4,3,4,4,4,4
669A736CF0B4,4,4,4,4,4,4,4
24008FFDB479,4,4,4,4,4,4,4
60623DB5DE7A,4,4,4,4,4,4,4
BD9FE34E4670,3,4,3,4,4,4,4
8C8B11C308CF,Score 4,3,3,3,3,3,3
5EE6F7530113,3,4,3,4,4,4,4
76C2E20AF20E,3,3,3,3,3,3,3
46977B27324C,4,4,4,4,4,4,4
AA03F87A4A75,4,4,3,4,4,4,4
02A7A3AFFBD5,3,3,3,3,3,3,3
907FC59841EC,3,3,3,3,3,3,3
E52BA6E4D7EE,4,4,4,4,4,4,4
E3DBC3B092A7,3,3,Score 4,3,4,4,4
12E3D52345C6,4,4,Score 4,4,4,4,4
51A7C4616A18,3,3,3,3,3,3,3
04FA62C5F269,3,4,3,4,3,3,4
C537E278BAE6,3,3,3,3,3,3,3
34E9C436DECE,4,4,4,4,4,4,4
52D244740799,3,3,3,4,3,3,3
916C937AF222,4,5,4,4,4,4,4
A9A0D8CE21B4,4,4,4,4,4,4,4
219E44AA7948,3,4,3,4,4,4,4
507FAD8DAFB0,3,3,Score 4,3,3,3,3
F5EA98F42452,4,4,4,4,4,4,4
CD506B5747F7,3,4,4,4,4,4,4
7D1825E2F4AD,3,3,3,4,4,4,4
4F5775B0B88D,4,4,3,4,4,4,4
A85F9CF7691D,4,4,3,4,4,4,4
EFB208F9EF60,4,4,4,4,4,4,4
AE6AE119B52F,4,4,3,4,4,4,4
4E8ED336CF7E,3,3,3,3,3,3,3
111443A063CE,3,4,3,3,3,3,3
1B2274161889,4,4,4,4,4,4,4
5C9B1FB411EB,4,4,4,4,4,4,4
9213A16C1A0A,4,3,3,3,3,4,4
FC9DA73D1EA0,3,3,3,3,3,3,3
